Lista;Grupo;FamIlia;Especie.Simplificado;NomeComum;CategoriaAmeaCa;Status;Bioma;PrincipaisAmeacas;PresencaAreasProtegidas;PAN;OrdenamentoPesqueiro ;Nivel.Protecao.Estrategia.Nacional;Especie.exclusiva.Brasil;EstadosOcorrencia
Flora;Angiospermas;Piperaceae;Piper anostachyum;-;Em Perigo (EN);EN;Mata Atlântica;Assentamentos Humanos: Cidades;Sim;Não;Não;2;Sim;"RJ; SP"
Flora;Angiospermas;Piperaceae;Piper barretoi;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Informação não disponível;"BA; MG; MT"
Flora;Angiospermas;Piperaceae;Piper bennettianum;-;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Queimadas;Sim;Não;Não;2;Sim;"BA; RJ"
Flora;Angiospermas;Piperaceae;Piper carautensei;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Piperaceae;Piper casteloense;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Piperaceae;Piper duartei;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"ES; MG"
Flora;Angiospermas;Piperaceae;Piper edwallii;-;Em Perigo (EN);EN;Mata Atlântica;Turismo/Recreação;Não;Não;Não;1;Informação não disponível;"RJ; SP"
Flora;Angiospermas;Piperaceae;Piper hatschbachii;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;PR
Flora;Angiospermas;Piperaceae;Piper hoehnei;-;Em Perigo (EN);EN;Mata Atlântica;Extração de Madeira, Agropecuária;Sim;Não;Não;2;Informação não disponível;"MG; SP"
Flora;Angiospermas;Piperaceae;Piper juliflorum;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Piperaceae;Piper kuhlmannii;-;Vulnerável (VU);VU;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;SP
Flora;Angiospermas;Piperaceae;Piper laevicarpum;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;ES
Flora;Angiospermas;Piperaceae;Piper loefgrenii;-;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;SP
Flora;Angiospermas;Piperaceae;Piper oblancifolium;-;Em Perigo (EN);EN;Mata Atlântica;Agropecuária;Não;Não;Não;1;Sim;SP
Flora;Angiospermas;Piperaceae;Piper piritubanum;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Não;Não;2;Sim;"PR; SC; SP"
Flora;Angiospermas;Piperaceae;Piper rioense;-;Em Perigo (EN);EN;Mata Atlântica;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Piperaceae;Piper sampaioi;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Queimadas;Sim;Não;Não;2;Informação não disponível;MG
Flora;Angiospermas;Piperaceae;Piper scabrellum;-;Em Perigo (EN);EN;Mata Atlântica;Desastres Naturais;Sim;Não;Não;2;Sim;"RJ; SP"
Fauna;Aves;Pipritidae;Piprites chloris grisescens;Papinho-amarelo;Vulnerável (VU);VU;Amazônia;Agropecuária;Sim;Não;Não;2;Sim;"MA; PA"
Flora;Angiospermas;Asteraceae;Piptocarpha robusta;-;Em Perigo (EN);EN;Mata Atlântica;Mineração, Agropecuária;Sim;Não;Não;2;Informação não disponível;"BA; ES; MG"
Flora;Angiospermas;Poaceae;Piptochaetium alpinum;-;Em Perigo (EN);EN;Mata Atlântica;Vazio;Sim;Não;Não;2;Sim;"SC; RS"
Flora;Angiospermas;Poaceae;Piptochaetium palustre;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária, Espécies Invasoras;Não;Não;Não;1;Sim;"SC; RS"
Flora;Angiospermas;Asteraceae;Piptolepis buxoides;-;Em Perigo (EN);EN;Cerrado;Perda de Habitat/Degradação (Induzida por Humanos);Sim;Sim;Não;3;Não;MG
Flora;Angiospermas;Asteraceae;Piptolepis imbricata;-;Criticamente em Perigo (CR);CR;Cerrado;Mineração, Turismo/Recreação, Queimadas;Sim;Não;Não;2;Sim;MG
Flora;Angiospermas;Asteraceae;Piptolepis leptospermoides;-;Criticamente em Perigo (CR);CR;Cerrado;Mineração, Turismo/Recreação, Queimadas;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Bromeliaceae;Pitcairnia albiflos;-;Em Perigo (EN);EN;Mata Atlântica;Espécies Invasoras, Queimadas, Turismo/Recreação;Sim;Sim;Não;2;Sim;RJ
Flora;Angiospermas;Bromeliaceae;Pitcairnia bradei;-;Criticamente em Perigo (CR);CR;Cerrado;Turismo/Recreação;Sim;Sim;Não;2;Sim;MG
Flora;Angiospermas;Bromeliaceae;Pitcairnia burle-marxii;-;Criticamente em Perigo (CR);CR;Mata Atlântica;Plantação de Madereiras, Mineração, Espécies Invasoras;Sim;Não;Não;2;Sim;"ES; MG"
Flora;Angiospermas;Bromeliaceae;Pitcairnia decidua;-;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";Queimadas;Sim;Não;Não;2;Sim;"ES; MG; RJ"
