Familia	nomeCientifico	Autor	Categoria	Criterio
Bromeliaceae	Dyckia choristaminea	Mez	EN	B1ab(i,ii,iii,iv,v)
Bromeliaceae	Dyckia delicata	Larocca & Sobral	CR	B2ab(iii)
Bromeliaceae	Dyckia distachya	Hassl.	CR	A4c
Bromeliaceae	Dyckia domfelicianensis	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Dyckia elisabethae	S. Winkl.	VU	B1ab(i,ii,iii)
Bromeliaceae	Dyckia hebdingii	L.B. Sm.	EN	B1ab(i,ii,iii)
Bromeliaceae	Dyckia ibicuiensis	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Dyckia irmgardiae	L. B. Sm.	CR	B2ab(iii)
Bromeliaceae	Dyckia julianae	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Dyckia leptostachya	Baker	VU	B1ab(ii)
Bromeliaceae	Dyckia maritima	Baker	VU	A3cd
Bromeliaceae	Dyckia reitzii	L. B. Sm.	CR	B1ab(ii)
Bromeliaceae	Dyckia remotiflora	Otto & A. Dietr.	VU	A3c
Bromeliaceae	Dyckia retardata	S. Winkl.	EN	B1ab(iii)+2ab(iii)
Bromeliaceae	Dyckia retroflexa	S. Winkl.	CR	B2ab(iii)
Bromeliaceae	Dyckia strehliana	H. Büneker & R. Pontes	CR	B2ac(ii,iii,iv)
Bromeliaceae	Dyckia tuberosa	(Vell.) Beer	VU	A3cd
Bromeliaceae	Dyckia vicentensis	T. Strehl	EN	B1ab(iii)+2ab(ii)
Bromeliaceae	Dyckia waechteri	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Tillandsia afonsoana	T. Strehl	CR	B2ab(i,ii,iii)
Bromeliaceae	Tillandsia bella	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Tillandsia duratii	Vis.	CR	B2ab(iii)
Bromeliaceae	Tillandsia itaubensis	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Tillandsia ixioides	Griseb.	CR	B1ab(iii)
Bromeliaceae	Tillandsia jonesii	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Tillandsia recurvifolia	Hook.	VU	B1ab(iii)
Bromeliaceae	Tillandsia toropiensis	Rauh	CR	B2ab(iii)
Bromeliaceae	Tillandsia winkleri	T. Strehl	CR	B2ab(iii)
Bromeliaceae	Tillandsia xiphioides	Ker Gawl.	CR	B1ab(iii)
Bromeliaceae	Vriesea corcovadensis	Mez	CR	B2ab(iii)
Bromeliaceae	Vriesea erytrodactylon	E. Morren ex Mez	CR	B2ab(iii)
Bromeliaceae	Vriesea procera	(Mart. ex Schult. & Schult. f.) Wittm.	VU	B1ab(iii)
Buddlejaceae	Buddleja ramboi	L.B. Sm.	VU	B1ab(iii)	
Burmanniaceae	Apteria aphylla	(Nutt.) Barnhart ex Small	VU	B1ab(i,ii,iii)
Burmanniaceae	Burmannia australis	Malme	VU	B1ab(i,ii,iii)
Burseraceae	Protium kleinii	Cuatrec.	CR	B1ab(i,ii,iii)
Cabombaceae	Cabomba caroliniana var. flavida	Orgaard	EN	B2ab(iii)
Cabombaceae	Cabomba furcata	Schult. & Schult. f.	CR	B1ab(i)+2ab(ii)
Cactaceae	Echinopsis oxygona	(Link) Zucc. ex Pfeiff.	VU	A3cd	
Cactaceae	Epiphyllum phyllanthus	(L.) Haw.	VU	C1
Cactaceae	Frailea buenekeri	W.R. Abraham	EN	B2ab(ii,iii,v)
Cactaceae	Frailea castanea	Backeb.	EN	B2ab(ii,iii,v)
Cactaceae	Frailea cataphracta	(Dams) Britton & Rose	CR	B1ab(ii,iii,v)+2ab(ii,iii,v)
Cactaceae	Frailea curvispina	Buining & Brederoo	EN	B1ab(ii,iii,v)+2ab(ii,iii,v)
Cactaceae	Frailea fulviseta	Buining & Brederoo	CR	B1ab(iii,v)+2ab(iii,v)
Cactaceae	Frailea gracillima	(Lem.) Britton & Rose	VU	A2ac
Cactaceae	Frailea mammifera	Buining & Brederoo	EN	B2ab(iii,v)
Cactaceae	Frailea phaeodisca	(Speg.) Backeb. & F.M. Knuth	VU	A2c
Cactaceae	Frailea pumila	(Lem.) Britton & Rose	VU	A2ac; B1ab(iii,v)
Cactaceae	Frailea pygmaea	(Speg.) Britton & Rose	VU	A2ac
Cactaceae	Frailea schilinzkyana	(F.Haage ex K.Schum.) Britton & Rose	EN	B1ab(iii,v)
Cactaceae	Gymnocalycium denudatum	(Link & Otto) Pfeiff ex Mittler	EN	A2ac
Cactaceae	Gymnocalycium horstii	Buining	EN	A2ac
Cactaceae	Gymnocalycium hyptiacanthum subsp.uruguayense (Arechav.)	Britton & Rose	VU	A2ac
Cactaceae	Parodia alacriportana	Backeb. & Voll	EN	B1ab(iii,v)
Cactaceae	Parodia allosiphon	(Marchesi) N.P. Taylor	EN	B1ab(iii,v)
Cactaceae	Parodia arnostiana	(Lisal & Kolarik) Hofacker	CR	A4ac; B1ab(iii,v)
Cactaceae	Parodia buiningii	(Buxb.) N.P. Taylor	CR	A4ac
Cactaceae	Parodia concinna	(Monv.) N.P.Taylor	EN	A4acd
Cactaceae	Parodia crassigiba	(F. Ritter) N. P.Taylor	EN	B2ab(iii,v)
Cactaceae	Parodia erinacea	(Haw.) N.P. Taylor	EN	A2acd
Cactaceae	Parodia fusca	(F. Ritter) Hofacker & P.J. Braun	EN	A4ac
Cactaceae	Parodia gaucha	M. Machado & Larocca	CR	B1ab(iii)
Cactaceae	Parodia glaucina	(F. Ritter) Hofacker & M. Machado	EN	A4acd
Cactaceae	Parodia haselbergii	(Haage) F.H. Brandt	VU	A4acd
Cactaceae	Parodia herteri	(Wedermann) N.P. Taylor	CR	A4ac
Cactaceae	Parodia horstii	(F. Ritter) N. P.Taylor	EN	C1
Cactaceae	Parodia langsdorfii	(Lehm.) D.R. Hunt	CR	A4ac
Cactaceae	Parodia leninghausii	(F. Haage) F.H. Brandt	EN	A4ac
Cactaceae	Parodia linkii	(Lehm.) R. Kiesling	VU	A4acd
Cactaceae	Parodia magnifica	(F. Ritter) F.H. Brandt	EN	A4ac; B1ab(iii,v)+2ab(iii,v)
Cactaceae	Parodia mammulosa	(Lem.) N.P. Taylor	VU	A4ac
Cactaceae	Parodia mueller-melchersii	(Fric ex Backeb.) N.P. Taylor	EN	A4ac; B1ab(iii,v)
Cactaceae	Parodia muricata	(Otto) Hofacker	EN	A4ac
Cactaceae	Parodia neoarechavaletae	(Havlicek) D.R. Hunt	CR	B1ab(i,iii,v)
Cactaceae	Parodia neohorstii	(Theun.) N.P. Taylor	CR	A4ac
Cactaceae	Parodia nothorauschii	Hunt	CR	B2ab(iii,v)
Cactaceae	Parodia ottonis	(Lehm.) N.P. Taylor	VU	A4acd
Cactaceae	Parodia oxycostata	(Buining & Brederoo) Hofacker	VU	A4ac
Cactaceae	Parodia permutata	(F. Ritter) Hofacker	EN	B1ab(iii,v)
Cactaceae	Parodia rechensis	(Buining) F.H. Brandt	CR	B1ab(iii,v)+2ab(iii,v); C2a(ii)
Cactaceae	Parodia rudibuenekeri	(W.R.Abraham) Hofacker & P.J.Braun	CR	A4ac
Cactaceae	Parodia schumanniana subsp. claviceps	(F.Ritter) Hofacker	CR	B1ab(ii,iii)
Cactaceae	Parodia scopa	(Spreng.) N. P. Taylor	EN	A4acd
Cactaceae	Parodia stockingeri	(Prestle) Hofacker & P.J. Braun	EN	B1ab(i,iii,v); C1
Cactaceae	Parodia tenuicylindrica	(F. Ritter) D.R. Hunt	EN	A4ac; B1ab(iii,v)
Cactaceae	Parodia turbinata	(Arechav.) Hofacker	CR	B2ab(iii,v)
Cactaceae	Parodia warasii	(F. Ritter) F.H. Brandt	EN	B1ab(iii,v)
Cactaceae	Rhipsalis campos-portoana	Loefgr.	CR	B1ab(iii)+2ab(iii)
Cactaceae	Rhipsalis paradoxa	Salm-Dyck	CR	B1ab(iii)
Cactaceae	Schlumbergera rosea	(Lagerh.) Calvente & Zappi	EN	B1ab(iii,v)+2ab(iii,v)
Caprifoliaceae	Valeriana glechomifolia	F.G.Mey.	EN	B1ab(iii)
Caprifoliaceae	Valeriana tajuvensis	Sobral	VU	B1ab(i)
Celastraceae	Maytenus boaria	Molina	VU	B1b(iii,iv)c(ii)
Celastraceae	Maytenus evonymoides	Reissek	EN	B1ab(iii)
Celastraceae	Maytenus floribunda	Reissek	EN	B1ab(i,ii,iii)
Ceratophyllaceae	Ceratophyllum demersum	L.	EN	B1ab(i)+2ab(iii)
Clethraceae	Clethra scabra	Pres.	VU	B1ab(i,iii)
Clethraceae	Clethra uleana	Sleumer	EN	B1ab(i,iii)
Clusiaceae	Clusia criuva	Cambess.	VU	B1b(ii,iii,iv)c(ii,iii)+2b(ii,iii,iv)c(iii)
Combretaceae	Buchenavia kleinii	Exell	EN	B1ab(ii,iii,iv)+2ab(ii,iii,iv)
Commelinaceae	Dichorisandra hexandra	(Aubl.) C.B. Clarke	VU	B1ab(i)
Convolvulaceae	Convolvulus ensifolius	P.P.A. Ferreira & Sim.-Bianch.	CR	D
Convolvulaceae	Cressa truxillensis	Kunth	CR	B1ab(i,ii,iii)
Convolvulaceae	Ipomoea guaranitica	Chodat & Hassl.	EN	B1ab(i,ii,iii)
Convolvulaceae	Ipomoea lanuginosa	O'Donell	CR	B1ab(i,ii,iii)
Convolvulaceae	Ipomoea malpighiphila	O'Donell	EN	B1ab(i,ii,iii)
Convolvulaceae	Ipomoea maurandioides	Meisn.	CR	B1ab(i,ii,iii)
Convolvulaceae	Ipomoea mirabilis	P.P.A. Ferreira & Sim.-Bianch.	EN	D
Convolvulaceae	Ipomoea pampeana	P.P.A. Ferreira & Miotto	CR	D
Convolvulaceae	Jacquemontia selloi	Hallier	VU	B1ab(i,ii,iii)
Cyperaceae	Carex seticulmis	Boeck.	EN	B1ab(i,ii,iii)+2ab(i,ii,iii)
Cyperaceae	Carex uruguensis	Boeck.	CR	B1ab(i,ii,iii)+2ab(i,ii,iii)
Cyperaceae	Cyperus berroi	(C.B. Clarke) Barros	VU	D2
Cyperaceae	Cyperus celluloso-reticulatus	Boeck.	VU	B1ab(iii)
Cyperaceae	Cyperus mundulus	Kunth	EN	B1ab(iii)
Cyperaceae	Cyperus uncinulatus	Schrad. ex Nees	VU	D2
Cyperaceae	Eleocharis atrobrunnea	R. Trevis. & S. González	CR	B2ab(iii)
Cyperaceae	Eleocharis quinquangularis	Boeck.	VU	D2
Cyperaceae	Eleocharis rabenii	Boeck.	EN	B1ab(iii)
Dilleniaceae	Doliocarpus glomeratus	Eichler	EN	B1ab(iii)
