Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Vriesea atropurpurea Silveira	328749	Vriesea atropurpurea	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Ditassa cipoensis (Fontella) Rapini	311450	Ditassa cipoensis	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Iandumoema uai Pinto-da-Rocha, 1996	140776	Iandumoema uai	Gonyleptidae		Iandumoema uai	VU	Vulnerável	2010
Aureliana angustifolia R. C. Almeida-Lafetá	281130	Aureliana angustifolia	Solanaceae		Solanaceae	CR	Criticamente em Perigo	2008
Lippia lasiocalycina Cham.	282947	Lippia lasiocalycina	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Staurogyne warmingiana (Hiern) Leonard	369421	Staurogyne warmingiana	Acanthaceae		Acanthaceae	CR	Criticamente em Perigo	2008
Oxalis diamantinae R.Knuth	348328	Oxalis diamantinae	Oxalidaceae		Oxalidaceae	VU	Vulnerável	2008
Lethocolea glossophylla (Spruce) Grolle	363398	Lethocolea glossophylla	Acrobolbaceae		Acrobolbaceae	VU	Vulnerável	2008
Tripogandra neglecta Handlos	355266	Tripogandra neglecta	Commelinaceae		Commelinaceae	VU	Vulnerável	2008
Gaylussacia centunculifolia Sleumer	316307	Gaylussacia centunculifolia	Ericaceae		Ericaceae	VU	Vulnerável	2008
Marsilea ancylopoda A. Braun	348565	Marsilea ancylopoda	Marsileaceae		Marsileaceae	CR	Criticamente em Perigo	2008
Rhizogonium lindigii (Brid.) Brid.						EN	Em Perigo	2008
Mimosa bombycina Barneby	322742	Mimosa bombycina	Fabaceae		Fabaceae	EN	Em Perigo	2008
Rhynchospora armerioides J.Presl. & C. Presl.	288331	Rhynchospora armerioides	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Coarazuphium pains Alvares & Ferreira, 2002	222887	Coarazuphium pains	Carabidae		Coarazuphium pains	VU	Vulnerável	2010
Hypsiboas stenocephalus (Caramaschi & Cruz, 1999)	156117	Hypsiboas stenocephalus	Hylidae		Hypsiboas stenocephalus	VU	Vulnerável	2010
Lychnophora tomentosa (Mart. ex DC.) Sch. Bip.	285437	Lychnophora tomentosa	Asteraceae		Asteraceae	VU	Vulnerável	2008
