Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Chusquea caparaoensis L. G. Clark	276329	Chusquea caparaoensis	Poaceae		Poaceae	EN	Em Perigo	2008
Sinningia warmingii (Hiern) Chautems	333236	Sinningia warmingii	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Holoaden bradei B. Lutz, 1959 1958	187913	Holoaden bradei	Craugastoridae		Holoaden bradei	CR	Criticamente em Perigo	2010
Simpsonichthys ocellatus Costa, Nielsen & de Luca 2001						CR	Criticamente em Perigo	2010
Leiothrix propinqua (Körn.) Ruhland	332044	Leiothrix propinqua	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Nirodia belphegor Westwood, 1851						VU	Vulnerável	2010
Brycon devillei (Castelnau, 1855)	246716	Brycon devillei	Bryconidae		Brycon devillei	CR	Criticamente em Perigo	2010
Lophocolea quadridentata Spruce						VU	Vulnerável	2008
Anemia glareosa Gardner	393125	Anemia glareosa	Anemiaceae		Anemiaceae	VU	Vulnerável	2008
Gaylussacia setosa Kin.-Gouv.	331908	Gaylussacia setosa	Ericaceae		Ericaceae	VU	Vulnerável	2008
Xyris hystrix Seub.	351534	Xyris hystrix	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Maranta parvifolia Peters.	321877	Maranta parvifolia	Marantaceae		Marantaceae	CR	Criticamente em Perigo	2008
Huperzia rostrifolia (Silveira) Holub	348356	Huperzia rostrifolia	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Vriesea longistaminea C.C.Paula & Leme	328973	Vriesea longistaminea	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Microlicia juniperina A.St-Hil.	322300	Microlicia juniperina	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Cyrtopodium cipoense L.C.Menezes	362403	Cyrtopodium cipoense	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Chamaecrista lagotois H. S. Irwin & Barneby	314610	Chamaecrista lagotois	Fabaceae		Fabaceae	VU	Vulnerável	2008
Xyris consanguinea Kunth	351506	Xyris consanguinea	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Mikania pilosa Baker	313034	Mikania pilosa	Asteraceae		Asteraceae	VU	Vulnerável	2008
Lantana rubella Moldenke	275891	Lantana rubella	Verbenaceae		Verbenaceae	VU	Vulnerável	2008
Rhipsalis paradoxa septentrionalis N.P.Taylor & Barthlott	368367	Rhipsalis paradoxa subsp. septentrionalis	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Sophronitis lundii (Rchb. f. & Warm.) Van den Berg & M. W. Chase	348233	Sophronitis lundii	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Alcantarea hatschbachii (L.B.Sm. & Read) Leme	313819	Alcantarea hatschbachii	Bromeliaceae		Bromeliaceae	EX	EX	2008
Lycopodium assurgens Fée	348503	Lycopodium assurgens	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Vernonia spixiana Mart. ex DC.	308106	Vernonia spixiana	Asteraceae		Asteraceae	EN	Em Perigo	2008
Cipocereus crassisepalus (Buining & Brederoo) Zappi & N.P.Taylor	367572	Cipocereus crassisepalus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Stelis deregularis Barb. Rodr.	346027	Stelis deregularis	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Wedelia macedoi H.Rob.	313677	Wedelia macedoi	Asteraceae		Asteraceae	VU	Vulnerável	2008
Rhytipterna simplex (Lichtenstein, 1823)	212271	Rhytipterna simplex	Tyrannidae		Rhytipterna simplex	VU	Vulnerável	2010
Sophronitis endsfeldzii (Pabst) Van den Berg & M.W.Chase	348205	Sophronitis endsfeldzii	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Pilosocereus azulensis N.P.Taylor & Zappi	368138	Pilosocereus azulensis	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Evolvulus barbatus Meisn.	330384	Evolvulus barbatus	Convolvulaceae		Convolvulaceae	CR	Criticamente em Perigo	2008
Panicum cipoense Renvoize & Send.	348748	Panicum cipoense	Poaceae		Poaceae	VU	Vulnerável	2008
Carpornis cucullata (Swainson, 1821)	249594	Carpornis cucullata	Cotingidae		Carpornis cucullata	EN	Em Perigo	2010
Croton arlineae Medeiros et al.	317922	Croton arlineae	Euphorbiaceae		Euphorbiaceae	VU	Vulnerável	2008
Anthurium mourae Engler	324323	Anthurium mourae	Araceae		Araceae	CR	Criticamente em Perigo	2008
Gaylussacia vitis-idaea Mart. ex Meisn.	316348	Gaylussacia vitis-idaea	Ericaceae		Ericaceae	VU	Vulnerável	2008
Habranthus datensis Ravenna	351722	Habranthus datensis	Amaryllidaceae		Amaryllidaceae	VU	Vulnerável	2008
Pseudoacanthocereus brasiliensis (Britton & Rose) F.Ritter	368229	Pseudoacanthocereus brasiliensis	Cactaceae		Cactaceae	VU	Vulnerável	2008
Bulbostylis amambayensis Barros	355396	Bulbostylis amambayensis	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Mecistogaster asticta Selys, 1860.						EN	Em Perigo	2010
Thelypteris angustifolia (Willd.) Proctor	350377	Thelypteris angustifolia	Thelypteridaceae		Thelypteridaceae	CR	Criticamente em Perigo	2008
Stachytarpheta discolor Cham.	369029	Stachytarpheta discolor	Verbenaceae		Verbenaceae	EN	Em Perigo	2008
Cryptanthus leopoldo-horstii Rauh	313894	Cryptanthus leopoldo-horstii	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Phloeophila echinantha (Barb.Rodr.) Hoehne & Schltr.	299728	Phloeophila echinantha	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Heteragrion obsoletum Selys, 1886	210301	Heteragrion obsoletum	Heteragrionidae		Heteragrion obsoletum	EN	Em Perigo	2010
Crenicichla jupiaensis Britski & Luengo, 1968	148818	Crenicichla jupiaensis	Cichlidae		Crenicichla jupiaensis	EN	Em Perigo	2010
Ornithophora radicans (Rchb.f.) Garay & Pabst	345018	Ornithophora radicans	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Croton pseudoadipatus Croizat	358299	Croton pseudoadipatus	Euphorbiaceae		Euphorbiaceae	VU	Vulnerável	2008
Simpsonichthys zonatus (Costa & Brasil, 1990)	189791	Simpsonichthys zonatus	Rivulidae		Simpsonichthys zonatus	CR	Criticamente em Perigo	2010
Paliavana gracilis (Mart.) Chautems	333039	Paliavana gracilis	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Lavoisiera mellobarretoi Markgr.	309255	Lavoisiera mello-barretoi	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Oncidium spilopterum Lindl.	347964	Oncidium spilopterum	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Celeus flavus (Statius Muller, 1776)	267958	Celeus flavus	Picidae		Celeus flavus	CR	Criticamente em Perigo	2010
Maxillaria loefgrenii (Cogn.) Pabst	320427	Maxillaria loefgrenii	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Steindachneridion scriptum (Miranda Ribeiro, 1918)	237653	Steindachneridion scriptum	Pimelodidae		Steindachneridion scriptum	CR	Criticamente em Perigo	2010
Ipomoea longistaminea O' Donell	384056	Ipomoea longistaminea	Convolvulaceae		Convolvulaceae	CR	Criticamente em Perigo	2008
Tabebuia obtusifolia (Cham) Bureau	387117	Tabebuia obtusifolia	Bignoniaceae		Bignoniaceae	VU	Vulnerável	2008
Euscarthmus rufomarginatus (Pelzeln, 1868)	212179	Euscarthmus rufomarginatus	Tyrannidae		Euscarthmus rufomarginatus	CR	Criticamente em Perigo	2010
Cipoia ramosa C.P.Bove, C.T.Philbrick & Novelo	331264	Cipoia ramosa	Podostemaceae		Podostemaceae	CR	Criticamente em Perigo	2008
Pseudotrimezia pauli Chukr						VU	Vulnerável	2008
Phragmipedium vittatum (Vell.) Rolfe	348007	Phragmipedium vittatum	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Oxypetalum cordifolium mexiae ( Malme ) Fontella & Goyder	361459	Oxypetalum cordifolium subsp. mexiae	Apocynaceae		Apocynaceae	CR	Criticamente em Perigo	2008
Encyclia bragancae Ruschi	343679	Encyclia bragancae	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Mandevilla harleyi M.F. Sales, Kinoshita-Gouvêa & A. Simões	310990	Mandevilla harleyi	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Hyalyris leptalina (C. Felder & R. Felder, 1865)	136833	Hyalyris leptalina	Nymphalidae		Hyalyris leptalina	VU	Vulnerável	2010
Cipoia inserta C.T.Philbrick, Novelo & Irgang	331259	Cipoia inserta	Podostemaceae		Podostemaceae	VU	Vulnerável	2008
Lychnophora markgravii G.M.Barroso	307980	Lychnophora markgravii	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Rhionaeshna eduardoi Machado, 1984	181757	Rhionaeschna eduardoi	Aeshnidae		Rhionaeschna eduardoi	VU	Vulnerável	2010
Nidularium longiflorum Ule	328249	Nidularium longiflorum	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Doliocarpus lancifolius Kubitzki	331481	Doliocarpus lancifolius	Dilleniaceae		Dilleniaceae	VU	Vulnerável	2008
Lophocolea mandonii Steph.						VU	Vulnerável	2008
Ormosia friburgensis Taub. ex Harms.	326578	Ormosia friburgensis	Fabaceae		Fabaceae	CR	Criticamente em Perigo	2008
Pilosocereus aurisetus aurilanatus (F.Ritter) D.C.Zappi	368132	Pilosocereus aurisetus subsp. aurilanatus	Cactaceae		Cactaceae	EN	Em Perigo	2008
Asplenium schwackei Christ	298697	Asplenium schwackei	Aspleniaceae		Aspleniaceae	CR	Criticamente em Perigo	2008
Dicranoglossum furcatum (L.) J. Sm.	348851	Dicranoglossum furcatum	Polypodiaceae		Polypodiaceae	EN	Em Perigo	2008
Paepalanthus laxifolius Koern.	317025	Paepalanthus laxifolius	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Chusquea baculifera Silveira	276317	Chusquea baculifera	Poaceae		Poaceae	EN	Em Perigo	2008
Simpsonichthys rufus Costa, Nielsen & de Luca 2002						CR	Criticamente em Perigo	2010
Lavoisiera itambana DC.	337786	Lavoisiera itambana	Melastomataceae		Melastomataceae	CR	Criticamente em Perigo	2008
Platalea ajaja Linnaeus, 1758	233504	Platalea ajaja	Threskiornithidae		Platalea ajaja	VU	Vulnerável	2010
Vriesea clausseniana (Baker) Mez	328804	Vriesea clausseniana	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Diaemus youngi (Jentink, 1893)	142731	Diaemus youngii	Phyllostomidae		Diaemus youngii	VU	Vulnerável	2010
Richterago amplexifolia (Gardner) Kuntze	308028	Richterago amplexifolia	Asteraceae		Asteraceae	VU	Vulnerável	2008
Botrychium virginianum (L.) Sw.	390538	Botrychium virginianum	Ophioglossaceae		Ophioglossaceae	CR	Criticamente em Perigo	2008
Habenaria itacolumia Garay						CR	Criticamente em Perigo	2008
Alternanthera decurrens J.C.Siqueira	310710	Alternanthera decurrens	Amaranthaceae		Amaranthaceae	CR	Criticamente em Perigo	2008
Paepalanthus flaviceps Koern.	357052	Paepalanthus flaviceps	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Angelonia eriostachys Benth.	329409	Angelonia eriostachys	Plantaginaceae		Plantaginaceae	EN	Em Perigo	2008
Matelea oxypetaloides (E. Fourn.) Morillo	278361	Matelea oxypetaloides	Apocynaceae		Apocynaceae	EN	Em Perigo	2008
Lychnophora souzae H.Rob.	312963	Lychnophora souzae	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Dyckia schwackeana Mez	327680	Dyckia schwackeana	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Piper canastrense E.F.Guim. & M.Carvalho-Silva	348439	Piper canastrense	Piperaceae		Piperaceae	VU	Vulnerável	2008
Mikania hartbergii W.C.Holmes	308003	Mikania hartbergii	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
(Herreriaceae) Herreria interrupta Grisebach						VU	Vulnerável	2008
Lippia diamantinensis Glaz.	290450	Lippia diamantinensis	Verbenaceae		Verbenaceae	VU	Vulnerável	2008
Trimezia fistulosa var. fistulosa R.C.Foster	332580	Trimezia fistulosa subsp. fistulosa	Iridaceae		Iridaceae	VU	Vulnerável	2008
Svitramia minor R.Romero & A.B.Martins	322461	Svitramia minor	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Iodopleura pipra (Lesson, 1831)	171889	Iodopleura pipra	Tityridae		Iodopleura pipra	CR	Criticamente em Perigo	2010
Eriosorus insignis (Kuhn) A.F.Tryon	379250	Eriosorus insignis	Pteridaceae		Pteridaceae	CR	Criticamente em Perigo	2008
Vellozia barbata Goeth. & Henrard	350758	Vellozia barbata	Velloziaceae		Velloziaceae	EN	Em Perigo	2008
Actinocephalus deflexus F.N. Costa	356802	Actinocephalus deflexus	Eriocaulaceae		Eriocaulaceae	VU	Vulnerável	2008
Encholirium heloisae (L.B.Sm.) Forzza & Wand.	314064	Encholirium heloisae	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Encholirium vogelii Rauh	314075	Encholirium vogelii	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Panicum poliophyllum Renvoize & Zuloaga	309835	Panicum poliophyllum	Poaceae		Poaceae	VU	Vulnerável	2008
Orthophytum grossiorum Leme & C.C.Paula	328337	Orthophytum grossiorum	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Zungaro jahu (Ihering, 1898)	237520	Zungaro jahu	Pimelodidae		Zungaro jahu	CR	Criticamente em Perigo	2010
Vanhouttea brueggeri Chautems	333247	Vanhouttea brueggeri	Gesneriaceae		Gesneriaceae	CR	Criticamente em Perigo	2008
Micranthocereus violaciflorus Buining	368010	Micranthocereus violaciflorus	Cactaceae		Cactaceae	EN	Em Perigo	2008
Rudgea sessilis cipoana (Standl.) Zappi	367860	Rudgea sessilis subsp. cipoana	Rubiaceae		Rubiaceae	EN	Em Perigo	2008
Celeus torquatus tinnunculus (Wagler, 1829)	206541	Celeus torquatus tinnunculus	Picidae		Celeus torquatus tinnunculus	CR	Criticamente em Perigo	2010
Stachytarpheta pohliana Cham.	369079	Stachytarpheta pohliana	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Pellaea riedelii Baker	349896	Pellaea riedelii	Pteridaceae		Pteridaceae	EN	Em Perigo	2008
Minaria lourteigiae (Fontella) T.U.P.Konno & Rapini	339923	Minaria lourteigiae	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Panicum bahiense Renvoize	295068	Panicum bahiense	Poaceae		Poaceae	EN	Em Perigo	2008
Alternanthera januarensis J.C.Siqueira	310713	Alternanthera januarensis	Amaranthaceae		Amaranthaceae	CR	Criticamente em Perigo	2008
Thelypteris araucariensis Ponce	350380	Thelypteris araucariensis	Thelypteridaceae		Thelypteridaceae	EN	Em Perigo	2008
Mikania premnifolia Gardner	313043	Mikania premnifolia	Asteraceae		Asteraceae	VU	Vulnerável	2008
Chrysocyon brachyurus (Illiger, 1815)	126597	Chrysocyon brachyurus	Canidae		Chrysocyon brachyurus	VU	Vulnerável	2010
Symplocos candelabra Aranha, P.W.Fritsch et Almeda	329858	Symplocos candelabra	Symplocaceae		Symplocaceae	VU	Vulnerável	2008
Hydromedusa maximiliani Mikan, 1820	170806	Hydromedusa maximiliani	Chelidae		Hydromedusa maximiliani	VU	Vulnerável	2010
Schizaea poeppigiana Sturm.	350135	Schizaea poeppigiana	Schizaeaceae		Schizaeaceae	EN	Em Perigo	2008
Oxypetalum leonii Fontella	323758	Oxypetalum leonii	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Leucopternis polionotus (Kaup, 1847)						CR	Criticamente em Perigo	2010
Stevia cryptantha Baker	380008	Stevia cryptantha	Asteraceae		Asteraceae	VU	Vulnerável	2008
Anemia warmingii Prantl	298428	Anemia warmingii	Anemiaceae		Anemiaceae	EN	Em Perigo	2008
Baccharis minutiflora Mart. ex Baker	311933	Baccharis minutiflora	Asteraceae		Asteraceae	EN	Em Perigo	2008
Riedeliella magalhaesii (Rizz) Lima & Vaz	281671	Riedeliella magalhaesii	Fabaceae		Fabaceae	EN	Em Perigo	2008
Spaeleoleptes spaeleusa (H. Soares, 1966)						VU	Vulnerável	2010
Trimezia fistulosa var. longifolia Chukr	320367	Trimezia fistulosa var. longifolia	Iridaceae		Iridaceae	CR	Criticamente em Perigo	2008
Ouratea hatschbachii K.Yamam.	309513	Ouratea hatschbachii	Ochnaceae		Ochnaceae	VU	Vulnerável	2008
Blechnum sampaioanum Brade	298810	Blechnum sampaioanum	Blechnaceae		Blechnaceae	VU	Vulnerável	2008
Mikania glauca Mart. ex Baker	313002	Mikania glauca	Asteraceae		Asteraceae	VU	Vulnerável	2008
Sinningia speciosa (Lodd. ex Ker Gawl.) Hiern	333219	Sinningia speciosa	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Vriesea penduliflora L.B.Sm.	329057	Vriesea penduliflora	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Ditassa laevis Mart.	370118	Ditassa laevis	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Lychnophoriopsis hatschbachii H.Rob.	378471	Lychnophoriopsis hatschbachii	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Lippia hederaefolia Mart. & Schauer	310215	Lippia hederifolia	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Cryptanthus caracensis Leme & E.Gross	327452	Cryptanthus caracensis	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Polystachya micrantha Schltr.	345378	Polystachya micrantha	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Callithrix kuhlii Coimbra-Filho, 1985	250917	Callithrix kuhlii	Callitrichidae		Callithrix kuhlii	EN	Em Perigo	2010
Lippia renifolia Turcz.	310224	Lippia renifolia	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Lonchophylla dekeyseri Taddei, Vizotto Sazima,	206117	Lonchophylla dekeyseri	Phyllostomidae		Lonchophylla dekeyseri	EN	Em Perigo	2010
Conorhynchos conirostris (Valenciennes 1840)	174865	Conorhynchos conirostris	Pimelodidae		Conorhynchos conirostris	VU	Vulnerável	2010
Macromitrium podocarpi var. falcifolium Müll. Hal.						VU	Vulnerável	2008
Philodendron speciosum Schott ex Endl.	324628	Philodendron speciosum	Araceae		Araceae	CR	Criticamente em Perigo	2008
Myleus tiete (Eigenmann & Norris, 1900)						EN	Em Perigo	2010
Xyris longifolia Mart.	369327	Xyris longifolia	Xyridaceae		Xyridaceae	VU	Vulnerável	2008
Paepalanthus scytophyllus Ruhland	317282	Paepalanthus scytophyllus	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Sinningia striata (Fritsch) Chautems	333221	Sinningia striata	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Ischnosiphon ovatus Koern.	337295	Ischnosiphon ovatus	Marantaceae		Marantaceae	VU	Vulnerável	2008
Peixotoa cipoana C.E.Anderson	321568	Peixotoa cipoana	Malpighiaceae		Malpighiaceae	VU	Vulnerável	2008
Paepalanthus velutinus Silveira	317406	Paepalanthus velutinus	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Maytenus rupestris Pirani & Carvalho-Okano	315342	Maytenus rupestris	Celastraceae		Celastraceae	VU	Vulnerável	2008
Rhipsalis pilocarpa Loefgr.	368376	Rhipsalis pilocarpa	Cactaceae		Cactaceae	EN	Em Perigo	2008
Pterolepis perpusilla Cogn.	309306	Pterolepis perpusilla	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Leptagrion bocainense Santos, 1979	132264	Leptagrion bocainense	Coenagrionidae		Leptagrion bocainense	VU	Vulnerável	2010
Inga cordistipula Mart.	325917	Inga cordistipula	Fabaceae		Fabaceae	EN	Em Perigo	2008
Blechnum heringeri Brade	298784	Blechnum heringeri	Blechnaceae		Blechnaceae	CR	Criticamente em Perigo	2008
Scuticaria hadwenii (Lindl.) Planch.	345796	Scuticaria hadwenii	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Stigmatopteris caudata (Raddi) C. Chr.	347531	Stigmatopteris caudata	Dryopteridaceae		Dryopteridaceae	EN	Em Perigo	2008
Aulonemia effusa Hack.	309749	Aulonemia effusa	Poaceae		Poaceae	VU	Vulnerável	2008
Piptolepis buxoides (Less.) Sch. Bip.	313150	Piptolepis buxoides	Asteraceae		Asteraceae	VU	Vulnerável	2008
Diplusodon vidalii Lourteig	389823	Diplusodon vidalii	Lythraceae		Lythraceae	EN	Em Perigo	2008
Drepanocladus perplicatus (Dusén) G.Roth	360280	Drepanocladus perplicatus	Amblystegiaceae		Amblystegiaceae	CR	Criticamente em Perigo	2008
Mikania candolleana Gardner	312987	Mikania candolleana	Asteraceae		Asteraceae	VU	Vulnerável	2008
Lychnophora passerina (Mart. ex DC.) Gardner	285420	Lychnophora passerina	Asteraceae		Asteraceae	VU	Vulnerável	2008
Accara elegans (DC.) Landrum	339941	Accara elegans	Myrtaceae		Myrtaceae	VU	Vulnerável	2008
Chamaecrista dentata (Vogel) H. S. Irwin & Barneby	314582	Chamaecrista dentata	Fabaceae		Fabaceae	VU	Vulnerável	2008
Eugerres brasilianus (Cuvier 1830)	201797	Eugerrres brasilianus	Gerreidae		Eugerrres brasilianus	CR	Criticamente em Perigo	2010
Olafia roscius iphimedia (Plötz, 1886)	113185	Olafia roscius iphimedia	Hesperiidae		Olafia roscius iphimedia	VU	Vulnerável	2010
Stemodia stellata B.L.Turner	350159	Stemodia stellata	Plantaginaceae		Plantaginaceae	CR	Criticamente em Perigo	2008
Calathea hirta Ravena	360458	Calathea hirta	Marantaceae		Marantaceae	CR	Criticamente em Perigo	2008
Phylloderma stenops Peters, 1865	174130	Phylloderma stenops	Phyllostomidae		Phylloderma stenops	EN	Em Perigo	2010
Hybanthus albus (A.St.-Hil.) Baill.	297838	Hybanthus albus	Violaceae		Violaceae	EN	Em Perigo	2008
Seemannia sylvatica (Kunth) Hanst	333058	Seemannia sylvatica	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Richterago stenophylla (Cabrera) Roque	313219	Richterago stenophylla	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Neoregelia brownii Leme	327889	Neoregelia brownii	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Stachytarpheta ajugifolia Schauer	368991	Stachytarpheta ajugifolia	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Paliavana sericiflora Benth.	333047	Paliavana sericiflora	Gesneriaceae		Gesneriaceae	VU	Vulnerável	2008
Pilosocereus fulvilanatus (Buining & Brederoo) F.Ritter	368173	Pilosocereus fulvilanatus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Vellozia gigantea N.L.Menezes & Mello-Silva	350823	Vellozia gigantea	Velloziaceae		Velloziaceae	EN	Em Perigo	2008
Petunia mantiqueirensis T.Ando & Hashim.	281480	Petunia mantiqueirensis	Solanaceae		Solanaceae	CR	Criticamente em Perigo	2008
Barbacenia exscapa Mart.	350519	Barbacenia exscapa	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Billbergia reichardtii Wawra	327286	Billbergia reichardtii	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Cyrtopodium dusenii Schltr.	347509	Cyrtopodium dusenii	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Pabstia jugosa (Lindl.) Garay	345023	Pabstia jugosa	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Calea rotundifolia (Less.) Baker	392779	Calea rotundifolia	Asteraceae		Asteraceae	VU	Vulnerável	2008
Piptolepis ericoides (Less.) Sch. Bip.	308018	Piptolepis ericoides	Asteraceae		Asteraceae	VU	Vulnerável	2008
Pringleella subulata (Müll.Hal.) Broth.	359845	Pringleella subulata	Bruchiaceae		Bruchiaceae	EN	Em Perigo	2008
Oncidium jonesianum Rchb. f.	347948	Oncidium jonesianum	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Mimosa acroconica Barneby	322681	Mimosa acroconica	Fabaceae		Fabaceae	CR	Criticamente em Perigo	2008
Paepalanthus argenteus var. elatus (Bong.) Hensold	316693	Paepalanthus argenteus var. elatus	Eriocaulaceae		Eriocaulaceae	EX	EX	2008
Svitamia wurdackiana R.Romero & A.B.Martins						VU	Vulnerável	2008
Vellozia hatschbachii L.B.Sm. & Ayensu	350844	Vellozia hatschbachii	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Codonanthe carnosa (Gardner) Hanst.	332880	Codonanthe carnosa	Gesneriaceae		Gesneriaceae	EN	Em Perigo	2008
Mimosa pogocephala Benth.	323120	Mimosa pogocephala	Fabaceae		Fabaceae	VU	Vulnerável	2008
Leiothrix linearis Silveira	316575	Leiothrix linearis	Eriocaulaceae		Eriocaulaceae	EX	EX	2008
Bulbophyllum filifolium Borba & Smidt	347328	Bulbophyllum filifolium	Orchidaceae		Orchidaceae	EN	Em Perigo	2008
Minaria campanuliflora Rapini	379764	Minaria campanuliflora	Apocynaceae		Apocynaceae	VU	Vulnerável	2008
Grallaria varia (Boddaert, 1783)	235465	Grallaria varia	Grallariidae		Grallaria varia	CR	Criticamente em Perigo	2010
Pleurostima inclinata (Goethart & Henrard) N. L. Menezes	350723	Pleurostima inclinata	Velloziaceae		Velloziaceae	VU	Vulnerável	2008
Paepalanthus heteropus Silveira	332203	Paepalanthus heteropus	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Anthurium lucioi Nadruz	324295	Anthurium lucioi	Araceae		Araceae	EN	Em Perigo	2008
Isoetes martii A.Br	370917	Isoetes martii	Isoetaceae		Isoetaceae	CR	Criticamente em Perigo	2008
Xyris caparaoensis Wand.	369258	Xyris caparaoensis	Xyridaceae		Xyridaceae	EN	Em Perigo	2008
Pelexia viridis (Cogn.) Schltr.	345120	Pelexia viridis	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Chamaecrista linearifolia Barneby	314738	Chamaecrista linearifolia	Fabaceae		Fabaceae	VU	Vulnerável	2008
Cestrum velutinum Hieron. var. velutinum						EN	Em Perigo	2008
Orthophytum benzingii Leme & H. Luther	328304	Orthophytum benzingii	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Encholirium longiflorum Leme	286580	Encholirium longiflorum	Bromeliaceae		Bromeliaceae	EN	Em Perigo	2008
Phibalura flavirostris Vieillot, 1816	249579	Phibalura flavirostris	Cotingidae		Phibalura flavirostris	VU	Vulnerável	2010
Melocactus conoideus Buining & Brederoo	367879	Melocactus conoideus	Cactaceae		Cactaceae	CR	Criticamente em Perigo	2008
Cryptangium claussenii C.B.Clarke	288034	Cryptangium claussenii	Cyperaceae		Cyperaceae	VU	Vulnerável	2008
Sporophila angolensis (Linnaeus, 1766)	264619	Sporophila angolensis	Thraupidae		Sporophila angolensis	CR	Criticamente em Perigo	2010
Ophioglossum ellipticum Hook. & Grev.	348615	Ophioglossum ellipticum	Ophioglossaceae		Ophioglossaceae	CR	Criticamente em Perigo	2008
Baccharis elliptica Gardner	311919	Baccharis elliptica	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Pilosocereus pentaedrophorus robustus D.C.Zappi	286793	Pilosocereus pentaedrophorus subsp. robustus	Cactaceae		Cactaceae	EN	Em Perigo	2008
Senna pneumatica Irwin & Barneby	280589	Senna pneumatica	Fabaceae		Fabaceae	EN	Em Perigo	2008
Microlicia multicaulis Mart.	338653	Microlicia multicaulis	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
