"Supplied Name","guid","scientificName","family","kingdom","status","sourceStatus","year","family"
"Speothos venaticus(Lund, 1842)","253012","Speothos venaticus","Canidae",,"VU","Vulnerável","2010","Canidae"
"Lasiurus blossevillii(Lesson & Garnot, 1826)","214193","Lasiurus (Lasiurus) blossevilli","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Sphiggurus spinosus (F. Cuvier, 1823)",,"Sphiggurus spinosus",,,"LC","Pouco Preocupante","2010",
"Lycalopex gymnocercus(Fischer, 1814)","190794","Lycalopex gymnocercus","Canidae",,"NE","Não Avaliado","2010","Canidae"
"Stenella frontalis(Cuvier, 1812)","268222","Stenella frontalis","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Carollia perspicillata(Linnaeus, 1758)","237011","Carollia perspicillata","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Chrysocyon brachyurus(Illiger, 1815)","126597","Chrysocyon brachyurus","Canidae",,"VU","Vulnerável","2010","Canidae"
"Cebus nigritus(Goldfuss, 1809)",,,,,"DD","Dados Insuficientes","2010",
"Uroderma bilobatumPeters, 1866",,,,,"DD","Dados Insuficientes","2010",
"Chironectes minimus(Zimmermann, 1780)","178881","Chironectes minimus","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Eumops glaucinus(Wagner, 1843)","153954","Eumops glaucinus","Molossidae",,"DD","Dados Insuficientes","2010","Molossidae"
"Eptesicus taddeii Miranda, Bernardi & Passos, 2006",,"Eptesicus taddeii",,,"NT","Quase Ameaçada","2010",
"Lobodon carcinophagus(Hombron & Jacquinot, 1842)","235043","Lobodon carcinophaga","Phocidae",,"DD#","Dados Insuficientes","2010","Phocidae"
"Sphiggurus viiosus (F. Cuvier, 1823)",,"Sphiggurus viiosus",,,"LC","Pouco Preocupante","2010",
"Balaenoptera edeni(Anderson, 1878)","265567","Balaenoptera edeni","Balaenopteridae",,"DD","Dados Insuficientes","2010","Balaenopteridae"
"Molossus molossus(Pallas, 1766)","184849","Molossus molossus","Molossidae",,"LC","Pouco Preocupante","2010","Molossidae"
"Cuniculus paca(Linnaeus, 1766)","198749","Cuniculus paca","Cuniculidae",,"EN","Em Perigo","2010","Cuniculidae"
"Monodelphis iheringi(Thomas, 1888)","116261","Monodelphis iheringi","Didelphidae",,"NE","Não Avaliado","2010","Didelphidae"
"Hydrurga leptonyx(Blainville, 1820)","140540","Hydrurga leptonyx","Phocidae",,"DD#","Dados Insuficientes","2010","Phocidae"
"Ziphius cavirostrisCuvier, 1823",,,,,"DD#","Dados Insuficientes","2010",
"Caluromys lanatus(Olfers, 1818)","241517","Caluromys lanatus","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Calomys tener(Winge, 1887)","188967","Calomys tener","Cricetidae",,"NE","Não Avaliado","2010","Cricetidae"
"Procyon cancrivorus(G. Cuvier, 1798)","172270","Procyon cancrivorus","Procyonidae",,"LC","Pouco Preocupante","2010","Procyonidae"
"Eumops bonariensis(Peters, 1874)","185340","Eumops bonariensis","Molossidae",,"EN","Em Perigo","2010","Molossidae"
"Phyllostomus hastatus(Pallas, 1767)","142728","Phyllostomus hastatus","Phyllostomidae",,"VU","Vulnerável","2010","Phyllostomidae"
"Glossophaga soricina(Pallas, 1766)","142718","Glossophaga soricina","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Akodon montensis Thomas, 1913",,"Akodon montensis",,,"LC","Pouco Preocupante","2010",
"Molossops temminckii(Burmeister, 1854)","153938","Molossops temminckii","Molossidae",,"DD","Dados Insuficientes","2010","Molossidae"
"Nyctinomops laticaudatus(É. Geoffroy, 1805)","216823","Nyctinomops laticaudatus","Molossidae",,"LC","Pouco Preocupante","2010","Molossidae"
"Platyrrhinus lineatus(É. Geoffroy, 1810)","236775","Platyrrhinus lineatus","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Sturnira lilium(É. Geoffroy, 1810)","236778","Sturnira (Sturnira) lilium","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Glyphonycteris sylvestrisThomas, 1896",,,,,"DD","Dados Insuficientes","2010",
"Myotis riparius Handley, 1960",,"Myotis riparius",,,"NT","Quase Ameaçada","2010",
"Phyiomys nigrispinus(Wagner, 1842)",,,,,"DD","Dados Insuficientes","2010",
"Alouatta clamitans Cabrera, 1940",,"Alouatta clamitans",,,"NT","Quase Ameaçada","2010",
"Mirounga leonina(Linnaeus, 1758)","266044","Mirounga leonina","Phocidae",,"DD#","Dados Insuficientes","2010","Phocidae"
"Akodon paranaensisChristoff, Fagundes, Sbalqueiro,Mattevi & Y.-Yassuda, 2000",,,,,"DD","Dados Insuficientes","2010",
"Dasypus hybridus(Desmarest, 1804)","142083","Dasypus hybridus","Dasypodidae",,"NE","Não Avaliado","2010","Dasypodidae"
"Arctocephalus tropicalis(Gray, 1872)","127117","Arctocephalus tropicalis","Otariidae",,"DD#","Dados Insuficientes","2010","Otariidae"
"Artibeus planirostris(Spix, 1823)","267985","Artibeus (Artibeus) planirostris","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Necromys lasiurus(Lund, 1840)","157421","Necromys lasiurus","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Leopardus tigrinus(Schreber, 1775)","226826","Leopardus tigrinus","Felidae",,"VU","Vulnerável","2010","Felidae"
"Hylaeamys megacephalus(Fischer, 1814)","251579","Hylaeamys megacephalus","Cricetidae",,"DD","Dados Insuficientes","2010","Cricetidae"
"Histiotus montanus(Philippi & Landbeck, 1861)","214196","Histiotus montanus","Vespertilionidae",,"DD","Dados Insuficientes","2010","Vespertilionidae"
"Alouatta caraya(Humboldt, 1812)","200494","Alouatta caraya","Atelidae",,"VU","Vulnerável","2010","Atelidae"
"Phyiomys medius(Thomas, 1909)",,,,,"DD","Dados Insuficientes","2010",
"Oxymycterus nasutus(Waterhouse, 1837)","125332","Oxymycterus nasutus","Cricetidae",,"DD","Dados Insuficientes","2010","Cricetidae"
"Marmosops paulensis(Tate, 1931)","147471","Marmosops paulensis","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Puma concolor(Linnaeus, 1771)","131593","Puma concolor","Felidae",,"VU","Vulnerável","2010","Felidae"
"Mazama nana(Hensel, 1872)","136370","Mazama nana","Cervidae",,"VU","Vulnerável","2010","Cervidae"
"Metachirus nudicaudatus(É. Geoffroy, 1803)","116246","Metachirus nudicaudatus","Didelphidae",,"DD","Dados Insuficientes","2010","Didelphidae"
"Monodelphis americana(Müller, 1776)","114318","Monodelphis americana","Didelphidae",,"NE","Não Avaliado","2010","Didelphidae"
"Myotis nigricans(Schinz, 1821)","245509","Myotis nigricans","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Chiroderma vilosumPeters, 1860",,"Dasyprocta azarae",,,"VU","Vulnerável","2010",
"Orcinus orca(Linnaeus, 1758)","268218","Orcinus orca","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Conepatus chinga(Molina, 1782)","149422","Conepatus chinga","Mephitidae",,"NE","Não Avaliado","2010","Mephitidae"
"Eubalaena australis(Desmoulins, 1822)","202658","Eubalaena australis","Balaenidae",,"EN","Em Perigo","2010","Balaenidae"
"Lontra longicaudis(Olfers, 1818)","174453","Lontra longicaudis","Mustelidae",,"NT","Quase Ameaçada","2010","Mustelidae"
"Platyrrhinus recifinus(Thomas, 1901)","267979","Platyrrhinus recifinus","Phyllostomidae",,"VU","Vulnerável","2010","Phyllostomidae"
"Dasyprocta azarae Lichtenstein, 1823",,"Dasyprocta azarae",,,"LC","Pouco Preocupante","2010",
"Megaptera novaengliae (Borowski, 1781)",,"Megaptera novaengliae",,,"VU","Vulnerável","2010",
"Artibeus cinereus(Gervais, 1856)","267973","Artibeus (Dermanura) cinereus","Phyllostomidae",,"VU","Vulnerável","2010","Phyllostomidae"
"Eptesicus furinalis(d’Orbigny & Gervais, 1847)","130143","Eptesicus furinalis","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Desmodus rotundus(É. Geoffroy, 1810)","174098","Desmodus rotundus","Phyllostomidae",,"LC","Pouco Preocupante","2010","Phyllostomidae"
"Myotis ruber(É. Geoffroy, 1806)","182548","Myotis ruber","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Rogheessa hussoniiGenoways & Baker, 1996",,,,,"DD","Dados Insuficientes","2010",
"Akodon cursor(Winge, 1887)","188633","Akodon cursor","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Arctocephalus australis(Zimmermann, 1783)","127122","Arctocephalus australis","Otariidae",,"DD#","Dados Insuficientes","2010","Otariidae"
