"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Tibouchina boudetii P. J. F. Guim. & R. Goldenberg","338896","Tibouchina boudetii","Melastomataceae",,"Melastomataceae","EN","Em Perigo"
"Peperomia regelii C. DC  ","348426","Peperomia regelii","Piperaceae",,"Piperaceae","EN","Em Perigo"
"Begonia albidula Brade","326128","Begonia albidula","Begoniaceae",,"Begoniaceae","V","Vulnerável"
"Moldenhawera papillanthera L. P. Queiroz, G. P. Lewis & R. Allkin  ","333226","Moldenhawera papillanthera","Fabaceae",,"Fabaceae","EN","Em Perigo"
"Bifrenaria calcarata Barb. Rodr.","342781","Bifrenaria calcarata","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Aechmea blanchetiana (Baker) L. B. Sm.","326713","Aechmea blanchetiana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Mollinedia salicifolia Perkins","339538","Mollinedia salicifolia","Monimiaceae",,"Monimiaceae","EN","Em Perigo"
"Epidendrum zappii Pabst","343925","Epidendrum zappii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Pleurothallis henrique-aragonii Pabst","345260","Pleurothallis henrique-aragonii","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Heliconia angusta  Vell.","333303","Heliconia angusta","Heliconiaceae",,"Heliconiaceae","V","Vulnerável"
"Piper subrugosum Yunck.","275545","Piper subrugosum","Piperaceae",,"Piperaceae","CR","CriticamEm Perigote em Perigo"
"Cryptanthus coriaceus Leme","327418","Cryptanthus coriaceus","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Vriesea belloi Leme","328758","Vriesea belloi","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Paliavana tenuiflora Mansf.","333049","Paliavana tenuiflora","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Rudgea reticulata Benth.","280113","Rudgea reticulata","Rubiaceae",,"Rubiaceae","V","Vulnerável"
"Leptolejeunea obfuscata (Spruce) Steph.","364596","Leptolejeunea obfuscata","Lejeuneaceae",,"Lejeuneaceae","V","Vulnerável"
"Heliconia laneana",,,,,,"V","Vulnerável"
"Meriania calophylla Triana","338191","Meriania calophylla","Melastomataceae",,"Melastomataceae","V","Vulnerável"
"Simira grazielae A. L. Peixoto","280187","Simira grazielae","Rubiaceae",,"Rubiaceae","CR","CriticamEm Perigote em Perigo"
"Ceradenia capilaris (Desv.) L. E. Bishop","348758","Ceradenia capillaris","Polypodiaceae",,"Polypodiaceae","EN","Em Perigo"
"Ruellia affinis Lindau","369285","Ruellia affinis","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Ditassa oberdanii Fontella & M. Alvarez","323199","Ditassa oberdanii","Apocynaceae",,"Apocynaceae","CR","CriticamEm Perigote em Perigo"
"Aphelandra hirta (Klotzsch) Wassh.","368992","Aphelandra hirta","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Schaueria lophura Nees","369349","Schaueria lophura","Acanthaceae",,"Acanthaceae","V","Vulnerável"
"Begonia ibitiocensis E. L. Jacques & Mamede","326328","Begonia ibitiocensis","Begoniaceae",,"Begoniaceae","EN","Em Perigo"
"Lankesterella ceracifolia Ames","344510","Lankesterella ceracifolia","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Huberia espirito-santensis Baumgratz","337689","Huberia espiritosantensis","Melastomataceae",,"Melastomataceae","EN","Em Perigo"
"Axonopus pressus (Nees ex Steud.) Parodi","276184","Axonopus pressus","Poaceae",,"Poaceae","CR","CriticamEm Perigote em Perigo"
"Epidendrum setiferum Lindl.","309552","Epidendrum setiferum","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Epidendrum paranaense Barb. Rodr.","343871","Epidendrum paranaense","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Hebanthe paniculata Mart.","394290","Hebanthe paniculata","Amaranthaceae",,"Amaranthaceae","V","Vulnerável"
"Hoffmannseggella  macrobulbosa (Pabst) H. G. Jones","318157","Hoffmannseggella macrobulbosa","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Eltroplectris calcarata (Sw.) Garay & H. R. Sweet","343656","Eltroplectris calcarata","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Cryptanthus fernseeoides Leme","327480","Cryptanthus fernseeoides","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Cissus serroniana (Glaz.) Lombardi","283213","Cissus serroniana","Vitaceae",,"Vitaceae","V","Vulnerável"
"Nidularium kautskyanum Leme","328241","Nidularium kautskyanum","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Macrotorus utriculatus (Mart. ex Tul.) Perk.","339442","Macrotorus utriculatus","Monimiaceae",,"Monimiaceae","CR","CriticamEm Perigote em Perigo"
"Trigonidium latifolium Lindl.  ","346147","Trigonidium latifolium","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Govenia utriculata (Sw.) Lindl.","344054","Govenia utriculata","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Calypogeia andicola Bischler",,,,,,"V","Vulnerável"
"Hebanthe pulverulenta Mart.","369654","Hebanthe pulverulenta","Amaranthaceae",,"Amaranthaceae","V","Vulnerável"
"Neoregelia lilliputiana E. Pereira","328002","Neoregelia lilliputiana","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Nematanthus crassifolius (Schott) Wiehler","332953","Nematanthus crassifolius","Gesneriaceae",,"Gesneriaceae","EN","Em Perigo"
"Pseudolaelia brejetubensis M. Frey","345539","Pseudolaelia brejetubensis","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Gongora bufonia Lindl.","344049","Gongora bufonia","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Huperzia quadrifariata (Bory) Rothm.","348335","Huperzia quadrifariata","Lycopodiaceae",,"Lycopodiaceae","V","Vulnerável"
"Marsdenia fontellana Morillo & Carnevali","278349","Marsdenia fontellana","Apocynaceae",,"Apocynaceae","EN","Em Perigo"
"Thelypteris noveana (Brade) Ponce",,,,,,"V","Vulnerável"
"Acianthera  glumacea (Lindl.) Pridgeon & M. W. Chase","342232","Acianthera glumacea","Orchidaceae",,"Orchidaceae","EN","Em Perigo"
"Huntleya meleagris Lindl.","344450","Huntleya meleagris","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Myrcia isaiana G. M. Barroso & A. L. Peixoto","341285","Myrcia isaiana","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Aechmea orlandiana L. B. Sm.","326969","Aechmea orlandiana","Bromeliaceae",,"Bromeliaceae","CR","CriticamEm Perigote em Perigo"
"Heteropterys trigoniifolia Adr. Juss. ","336003","Heteropterys trigoniifolia","Malpighiaceae",,"Malpighiaceae","CR","CriticamEm Perigote em Perigo"
"Cleistes revoluta (Barb. Rodr.) Schltr.","362242","Cleistes revoluta","Orchidaceae",,"Orchidaceae","CR","CriticamEm Perigote em Perigo"
"Tetraplandra dimitrii Emmerich","295526","Tetraplandra dimitrii","Euphorbiaceae",,"Euphorbiaceae","CR","CriticamEm Perigote em Perigo"
"Peperomia cordigera C. DC.","274819","Peperomia cordigera","Piperaceae",,"Piperaceae","CR","CriticamEm Perigote em Perigo"
"Metzgeria brasiliensis Schiffn.","365443","Metzgeria brasiliensis","Metzgeriaceae",,"Metzgeriaceae","V","Vulnerável"
"Griffinia colatinensis Ravenna","369712","Griffinia colatinensis","Amaryllidaceae",,"Amaryllidaceae","CR","CriticamEm Perigote em Perigo"
"Anthurium radicans K. Koch & A. Haage","324348","Anthurium radicans","Araceae",,"Araceae","EN","Em Perigo"
"Myrcia riodocensis G. M. Barroso & A. L. Peixoto","341408","Myrcia riodocensis","Myrtaceae",,"Myrtaceae","EN","Em Perigo"
"Piper sprengelianum C. DC.","275538","Piper sprengelianum","Piperaceae",,"Piperaceae","V","Vulnerável"
"Aechmea capixabae L. B. Sm.","326746","Aechmea capixabae","Bromeliaceae",,"Bromeliaceae","V","Vulnerável"
"Habenaria macronectar (Vell.) Hoehne","344238","Habenaria macronectar","Orchidaceae",,"Orchidaceae","V","Vulnerável"
"Grazielodendron rio-docensis H. C. Lima","281457","Grazielodendron rio-docensis","Fabaceae",,"Fabaceae","V","Vulnerável"
"Prepusa viridiflora Brade","332730","Prepusa viridiflora","Gentianaceae",,"Gentianaceae","EN","Em Perigo"
