"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Bahiella blanchetii (A.DC.) J.F.Morales","370018","Bahiella blanchetii","Apocynaceae",,"Bahiella blanchetii","EN","Em Perigo"
"Agrianthus almasensis D.J.N.Hind","284733","Agrianthus almasensis","Asteraceae",,"Agrianthus almasensis","EN","Em Perigo"
"Hyporthodus nigritus (Holbrook, 1855)",,,,,"Cherne-negro","EN","Em Perigo"
"Melocactus deinacanthus Buining & Brederoo","367882","Melocactus deinacanthus","Cactaceae",,"Melocactus deinacanthus","CR","Criticamente em Perigo"
"Cyperus almensis D.A. Simpson","288037","Cyperus almensis","Cyperaceae",,"Cyperus almensis","EN","Em Perigo"
"Lonchorhina aurita Tomes, 1863","142716","Lonchorhina aurita","Phyllostomidae","Animalia","Morcego","EN","Em Perigo"
"Pavonia pilifera Krapov.","386962","Pavonia pilifera","Malvaceae",,"Pavonia pilifera","CR","Criticamente em Perigo"
"Dichanthelium cumbucana (Renvoize) Zuloaga","348569","Dichanthelium cumbucana","Poaceae",,"Dichanthelium cumbucana","VU","Vulnerável"
"Ossaea sulbahiensis D´El Rei Souza","338760","Ossaea sulbahiensis","Melastomataceae",,"Ossaea sulbahiensis","VU","Vulnerável"
"Solanum santosii S.Knapp","281983","Solanum santosii","Solanaceae",,"Solanum santosii","VU","Vulnerável"
"Ameivula nativo (Rocha, Bergallo & Peccinini-Seale, 1997)","256536","Ameivula nativo","Teiidae",,,"EN","Em Perigo"
"Sphyrna tiburo (Linnaeus, 1758)","201983","Sphyrna tiburo","Sphyrnidae","Animalia","Tubarão-martelo","CR","Criticamente em Perigo"
"Paralychnophora atkinsiae D.J.N.Hind","285581","Paralychnophora atkinsiae","Asteraceae",,"Paralychnophora atkinsiae","EN","Em Perigo"
"Hindsia sessilifolia Di Maio","296102","Hindsia sessilifolia","Rubiaceae",,"Hindsia sessilifolia","VU","Vulnerável"
"Rhopornis ardesiacus (Wied, 1831)","136549","Rhopornis ardesiacus","Thamnophilidae","Animalia","Gravatazeiro","EN","Em Perigo"
"Rodriguesophis chui (Rodrigues, 1993)","149509","Rodriguesophis chui","Dipsadidae",,,"EN","Em Perigo"
"Pachycondyla goeldii (Forel, 1912)",,,,,,"VU","Vulnerável"
"Marcetia nervulosa Markgr.","292719","Marcetia nervulosa","Melastomataceae",,"Marcetia nervulosa","VU","Vulnerável"
"Scytalopus speluncae (Ménétriès, 1835)","181864","Scytalopus speluncae","Rhinocryptidae","Animalia","Tapaculo-preto","CR","Criticamente em Perigo"
"Apodanthera villosa C.Jeffrey","287797","Apodanthera villosa","Cucurbitaceae",,"Apodanthera villosa","VU","Vulnerável"
"Microlicia mucugensis (Wurdack) Almeda & A.B.Martins","292857","Microlicia mucugensis","Melastomataceae",,"Microlicia mucugensis","EN","Em Perigo"
"Cambessedesia hermogenesii A.B.Martins","292634","Cambessedesia hermogenesii","Melastomataceae",,"Cambessedesia hermogenesii","EN","Em Perigo"
"Dichorisandra variegata Aona & Faden","284335","Dichorisandra variegata","Commelinaceae",,"Dichorisandra variegata","EN","Em Perigo"
"Duguetia dicholepidota Mart.","375387","Duguetia dicholepidota","Annonaceae",,"Duguetia dicholepidota","VU","Vulnerável"
"Procellosaurinus tetradactylus Rodrigues, 1991","204160","Procellosaurinus tetradactylus","Gymnophthalmidae",,,"EN","Em Perigo"
"Portea kermesina K.Koch","328470","Portea kermesina","Bromeliaceae",,"Portea kermesina","EN","Em Perigo"
"Atractantha falcata McClure","276076","Atractantha falcata","Poaceae",,"Atractantha falcata","VU","Vulnerável"
"Mikania kubitzkii R.M.King & H.Rob.","325575","Mikania kubitzkii","Asteraceae",,"Mikania kubitzkii","VU","Vulnerável"
"Couepia insignis Fritsch","286972","Couepia insignis","Chrysobalanaceae",,"Couepia insignis","EN","Em Perigo"
"Microspathodon chrysurus (Cuvier, 1830)","213646","Microspathodon chrysurus","Pomacentridae",,"Donzela-azul","VU","Vulnerável"
"Orthophytum hatschbachii Leme","286655","Orthophytum hatschbachii","Bromeliaceae",,"Orthophytum hatschbachii","EN","Em Perigo"
"Amazona vinacea (Kuhl, 1820)","175040","Amazona vinacea","Psittacidae","Animalia","Papagaio-de-peito-roxo","CR","Criticamente em Perigo"
"Ophtalmolebias ilheusensis (Costa & Lima, 2010)","221407","Ophthalmolebias ilheusensis","Rivulidae","Animalia","Peixe-anual","CR","Criticamente em Perigo"
"Philcoxia tuberosa M.L.S.Carvalho & L.P.Queiroz","358825","Philcoxia tuberosa","Plantaginaceae",,"Philcoxia tuberosa","CR","Criticamente em Perigo"
"Nematanthus corticola Schrad.","332950","Nematanthus corticola","Gesneriaceae",,"Nematanthus corticola","VU","Vulnerável"
"Phaethon lepturus Daudin, 1802","263851","Phaethon lepturus","Phaethontidae","Animalia","Rabo-de-palha-de-bico-laranja","CR","Criticamente em Perigo"
"Melipona (Melipona) mandacaia Smith, 1863","164877","Melipona (Melipona) mandacaia","Apidae",,"Mandaçaia","VU","Vulnerável"
"Ichnanthus longhi-wagnerae A.C. Mota & R.P. Oliveira","379172","Ichnanthus longhi-wagnerae","Poaceae",,"Ichnanthus longhi-wagnerae","CR","Criticamente em Perigo"
"Ocotea vegrandis P.L.R. Moraes et van der Werff","387039","Ocotea vegrandis","Lauraceae",,"Ocotea vegrandis","EN","Em Perigo"
"Dinoponera lucida Emery, 1901","261633","Dinoponera lucida","Formicidae","Animalia","Formiga-gigante-da-Mata- Atlântica","EN","Em Perigo"
"Marcetia sincorensis Wurdack","292734","Marcetia sincorensis","Melastomataceae",,"Marcetia sincorensis","VU","Vulnerável"
"Canistrum sandrae Leme","327406","Canistrum sandrae","Bromeliaceae",,"Canistrum sandrae","VU","Vulnerável"
"Microlicia subalata Wurdack","292875","Microlicia subalata","Melastomataceae",,"Microlicia subalata","CR","Criticamente em Perigo"
"Makaira nigricans Lacepède, 1802","160276","Makaira nigricans","Istiophoridae","Animalia","Marlin-azul","EN","Em Perigo"
"Serjania magnistipulata Acev.-Rodr.","296710","Serjania magnistipulata","Sapindaceae",,"Serjania magnistipulata","VU","Vulnerável"
"Phanera carvalhoi (Vaz) Vaz","381018","Phanera carvalhoi","Fabaceae",,"Phanera carvalhoi","VU","Vulnerável"
"Conchocarpus concinnus Kallunki","365111","Conchocarpus concinnus","Rutaceae",,"Conchocarpus concinnus","EN","Em Perigo"
"Neoregelia longisepala E.Pereira & I.A.Penna","328012","Neoregelia longisepala","Bromeliaceae",,"Neoregelia longisepala","EN","Em Perigo"
"Tropidurus mucujensis Rodrigues, 1987","116385","Tropidurus mucujensis","Tropiduridae",,,"EN","Em Perigo"
"Calliandra semisepulta Barneby","290673","Calliandra semisepulta","Fabaceae",,"Calliandra semisepulta","VU","Vulnerável"
"Turnera marmorata Urb.","282485","Turnera marmorata","Turneraceae",,"Turnera marmorata","EN","Em Perigo"
"Erythroxylum leal-costae Plowman","332515","Erythroxylum leal-costae","Erythroxylaceae",,"Erythroxylum leal-costae","CR","Criticamente em Perigo"
"Vitex martii Moldenke","308893","Vitex martii","Lamiaceae",,"Vitex martii","VU","Vulnerável"
"Scytalopus diamantinensis Bornschein, Maurício, Belmonte-Lopes, Mata & Bonato, 2007","117545","Scytalopus diamantinensis","Rhinocryptidae","Animalia","Tapaculo-da-chapada- diamantina","EN","Em Perigo"
"Oocephalus tenuithyrsus Harley","375342","Oocephalus tenuithyrsus","Lamiaceae",,"Oocephalus tenuithyrsus","EN","Em Perigo"
"Pavonia gerleniae Gonçalez & M.C. Duarte","359907","Pavonia gerleniae","Malvaceae",,"Pavonia gerleniae","CR","Criticamente em Perigo"
"Inga pedunculata (Vinha) T.D.Penn.","290965","Inga pedunculata","Fabaceae",,"Inga pedunculata","CR","Criticamente em Perigo"
"Croton seminudus Müll.Arg.","358357","Croton seminudus","Euphorbiaceae",,"Croton seminudus","EN","Em Perigo"
"Cnidoscolus byssinus Fern.Casas","357796","Cnidoscolus byssinus","Euphorbiaceae",,"Cnidoscolus byssinus","VU","Vulnerável"
"Ronnbergia carvalhoi Martinelli & Leme","328555","Ronnbergia carvalhoi","Bromeliaceae",,"Ronnbergia carvalhoi","EN","Em Perigo"
"Diplusodon bahiensis T.B.Cavalc.","371088","Diplusodon bahiensis","Lythraceae",,"Diplusodon bahiensis","VU","Vulnerável"
"Xyris fibrosa Kral & Wand.","369299","Xyris fibrosa","Xyridaceae",,"Xyris fibrosa","CR","Criticamente em Perigo"
"Aeschynomene soniae G.P.Lewis","290422","Aeschynomene soniae","Fabaceae",,"Aeschynomene soniae","EN","Em Perigo"
"Stigmatomma cleae (Delabie, 2002)",,,,,,"EN","Em Perigo"
"Evolvulus delicatus Sim.-Bianch. & C.V.Silva","370931","Evolvulus delicatus","Convolvulaceae",,"Evolvulus delicatus","VU","Vulnerável"
"Philodendron williansii Hook.f.",,,,,,"EN","Em Perigo"
"Dahlstedtia bahiana (A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo","377304","Dahlstedtia bahiana","Fabaceae",,"Dahlstedtia bahiana","VU","Vulnerável"
"Lychnophora jeffreyi H.Rob.","285413","Lychnophora jeffreyi","Asteraceae",,"Lychnophora jeffreyi","VU","Vulnerável"
"Mcvaughia bahiana W.R. Anderson","292269","Mcvaughia bahiana","Malpighiaceae",,"Mcvaughia bahiana","EN","Em Perigo"
"Lachesis muta (Linnaeus, 1766)","183326","Lachesis muta","Viperidae","Animalia","Surucucu-pico-de-jaca","VU","Vulnerável"
"Chaptalia chapadensis D.J.N.Hind","285018","Chaptalia chapadensis","Asteraceae",,"Chaptalia chapadensis","CR","Criticamente em Perigo"
"Anthurium radicans K.Koch & Haage","324348","Anthurium radicans","Araceae",,"Anthurium radicans","VU","Vulnerável"
"Agrianthus luetzelburgii Mattf.","284744","Agrianthus luetzelburgii","Asteraceae",,"Agrianthus luetzelburgii","VU","Vulnerável"
"Tibouchina carvalhoi Wurdack","292939","Tibouchina carvalhoi","Melastomataceae",,"Tibouchina carvalhoi","VU","Vulnerável"
"Microlicia sulfurea Hoehne","309301","Microlicia sulfurea","Melastomataceae",,"Microlicia sulfurea","VU","Vulnerável"
"Oocephalus ganevii Harley","375336","Oocephalus ganevii","Lamiaceae",,"Oocephalus ganevii","VU","Vulnerável"
"Pyriglena atra (Swainson, 1825)","136272","Pyriglena atra","Thamnophilidae","Animalia","Olho-de-fogo-rendado","EN","Em Perigo"
"Eleoscytalopus indigoticus (Wied, 1831)","244657","Eleoscytalopus indigoticus","Rhinocryptidae","Animalia","Macuquinho","CR","Criticamente em Perigo"
"Cardisoma guanhumi Latreille, 1828","232259","Cardisoma guanhumi","Gecarcinidae",,"Guaiamun","VU","Vulnerável"
"Orthophytum ophiuroides Louzada & Wand.","378377","Orthophytum ophiuroides","Bromeliaceae",,"Orthophytum ophiuroides","VU","Vulnerável"
"Alopias superciliosus Lowe, 1841","182269","Alopias superciliosus","Alopiidae","Animalia","Tubarão-raposa","VU","Vulnerável"
"Micranthocereus polyanthus (Werderm.) Backeb.","367995","Micranthocereus polyanthus","Cactaceae",,"Micranthocereus polyanthus","EN","Em Perigo"
"Baccharis orbiculata Deble & A.S.Oliveira","383914","Baccharis orbiculata","Asteraceae",,"Baccharis orbiculata","EN","Em Perigo"
"Amazona farinosa (Boddaert, 1783)","273775","Amazona farinosa","Psittacidae","Animalia","Papagaio-moleiro","VU","Vulnerável"
"Neoregelia crispata Leme","327932","Neoregelia crispata","Bromeliaceae",,"Neoregelia crispata","VU","Vulnerável"
"Sapajus robustus (Kuhl, 1820)","162136","Sapajus robustus","Cebidae","Animalia","Macaco-prego-de crista","EN","Em Perigo"
"Pavonia luetzelburgii Ulbr.","292464","Pavonia luetzelburgii","Malvaceae",,"Pavonia luetzelburgii","VU","Vulnerável"
"Trogon collaris Vieillot, 1817","175232","Trogon collaris","Trogonidae","Animalia","Surucuá-de-coleira","RE","Regionalmente Extinto"
"Janusia christianeae W.R.Anderson","292246","Janusia christianeae","Malpighiaceae",,"Janusia christianeae","EN","Em Perigo"
"Tropidodryas serra (Schlegel, 1837)","116704","Tropidodryas serra","Dipsadidae",,,"VU","Vulnerável"
"Cuphea bahiensis (Lour.) T.B.Cavalc. & S.A.Graham","291913","Cuphea bahiensis","Lythraceae",,"Cuphea bahiensis","EN","Em Perigo"
"Rachoviscus graciliceps Weitzman & Cruz 1981","233096","Rachoviscus graciliceps","Characidae","Animalia","Lambari","EN","Em Perigo"
"Stigmaphyllon harleyi W.R.Anderson","292310","Stigmaphyllon harleyi","Malpighiaceae",,"Stigmaphyllon harleyi","EN","Em Perigo"
"Apochloa animara (Renvoize) Zuloaga & Morrone","336637","Apochloa animara","Poaceae",,"Apochloa animara","EN","Em Perigo"
"Bauhinia integerrima Mart. ex Benth.","290484","Bauhinia integerrima","Fabaceae",,"Bauhinia integerrima","EN","Em Perigo"
"Vernonanthura fagifolia (Gardner) H.Rob.","313506","Vernonanthura fagifolia","Asteraceae",,"Vernonanthura fagifolia","VU","Vulnerável"
"Heteropterys sanctorum W.R.Anderson","335987","Heteropterys sanctorum","Malpighiaceae",,"Heteropterys sanctorum","CR","Criticamente em Perigo"
"Pristis pristis (Linnaeus, 1758)","202918","Pristis pristis","Pristidae","Animalia","Peixe-serra","CR","Criticamente em Perigo"
"Myrcia carvalhoi NicLugh.","292348","Myrcia carvalhoi","Myrtaceae",,"Myrcia carvalhoi","EN","Em Perigo"
"Begonia subacida Irmsch.","326593","Begonia subacida","Begoniaceae",,"Begonia subacida","EN","Em Perigo"
"Conorhynchos conirostris (Valenciennes 1840)","174865","Conorhynchos conirostris","Pimelodidae","Animalia","Pirá-tamanduá","EN","Em Perigo"
"Eplingiella brightoniae Harley","393526","Eplingiella brightoniae","Lamiaceae",,"Eplingiella brightoniae","EN","Em Perigo"
"Orthophytum riocontense Leme","354149","Orthophytum riocontense","Bromeliaceae",,"Orthophytum riocontense","EN","Em Perigo"
"Sphyrna zygaena (Linnaeus, 1785)","265271","Sphyrna zygaena","Sphyrnidae","Animalia","Tubarão-martelo-liso","CR","Criticamente em Perigo"
"Amphisbaena nigricauda Gans, 1966","150963","Amphisbaena nigricauda","Amphisbaenidae","Animalia","Calango","EN","Em Perigo"
"Sparisoma frondosum (Agassiz, 1831)","164114","Sparisoma frondosum","Labridae","Animalia","Peixe-papagaio-cinza","EN","Em Perigo"
"Pavonia rubriphylla G.L. Esteves","336771","Pavonia rubriphylla","Malvaceae",,"Pavonia rubriphylla","CR","Criticamente em Perigo"
"Lippia morii Moldenke","297690","Lippia morii","Verbenaceae",,"Lippia morii","EN","Em Perigo"
"Thunnus thynnus (Linnaeus, 1758)","270523","Thunnus thynnus","Scombridae","Animalia","Atum-azul","CR","Criticamente em Perigo"
"Bothrops jararacussu Lacerda, 1884","119655","Bothrops jararacussu","Viperidae",,"Patrona","EN","Em Perigo"
"Aechmea paradoxa (Leme) Leme","326975","Aechmea paradoxa","Bromeliaceae",,"Aechmea paradoxa","VU","Vulnerável"
"Chamaecrista amabilis H.S.Irwin & Barneby","290716","Chamaecrista amabilis","Fabaceae",,"Chamaecrista amabilis","VU","Vulnerável"
"Alvimia lancifolia Soderstr. & Londoño","275832","Alvimia lancifolia","Poaceae",,"Alvimia lancifolia","EN","Em Perigo"
"Melocactus pachyacanthus Buining & Brederoo","367929","Melocactus pachyacanthus","Cactaceae",,"Melocactus pachyacanthus","EN","Em Perigo"
"Actinocephalus ochrocephalus (Körn.) Sano","331926","Actinocephalus ochrocephalus","Eriocaulaceae",,"Actinocephalus ochrocephalus","EN","Em Perigo"
"Neopelma aurifrons (Wied, 1831)","146714","Neopelma aurifrons","Pipridae",,"Fruxu-baiano","CR","Criticamente em Perigo"
"Monomorium delabiei Fernández, 2007","261809","Monomorium delabiei","Formicidae","Animalia",,"EN","Em Perigo"
"Senegalia santosii (G.P.Lewis) Seigler & Ebinger","332368","Senegalia santosii","Fabaceae",,"Senegalia santosii","VU","Vulnerável"
"Lipaugus vociferans (Wied, 1820)","249577","Lipaugus vociferans","Cotingidae","Animalia","Capitão-do-mato","VU","Vulnerável"
"Neoregelia kerryi Leme","327988","Neoregelia kerryi","Bromeliaceae",,"Neoregelia kerryi","EN","Em Perigo"
"Eriope obovata Epling","289975","Eriope obovata","Lamiaceae",,"Eriope obovata","EN","Em Perigo"
"Goeppertia brevipes (Korn.)Borchs & S.Suárez.","384432","Goeppertia brevipes","Marantaceae",,"Goeppertia brevipes","CR","Criticamente em Perigo"
"Xenurolebias myersi (Carvalho 1971)","221348","Xenurolebias myersi","Rivulidae","Animalia","Peixe-anual","EN","Em Perigo"
"Parianella carvalhoi (R.P. Oliveira & Longhi-Wagner) F.M. Ferreira & R.","334855","Parianella carvalhoi","Poaceae",,"Parianella carvalhoi","CR","Criticamente em Perigo"
"Orthophytum harleyi Leme & M.Machado","354140","Orthophytum harleyi","Bromeliaceae",,"Orthophytum harleyi","EN","Em Perigo"
"Pseudiris speciosa Chukr & A.Gil","339015","Pseudiris speciosa","Iridaceae",,"Pseudiris speciosa","EN","Em Perigo"
"Sporophila frontalis (Verreaux, 1869)","264571","Sporophila frontalis","Thraupidae","Animalia","Pixoxô","EN","Em Perigo"
"Aechmea disjuncta (L.B.Sm.) Leme & J.A.Siqueira","326810","Aechmea disjuncta","Bromeliaceae",,"Aechmea disjuncta","EN","Em Perigo"
"Cichlopsis leucogenys Cabanis, 1851","211812","Cichlopsis leucogenys","Turdidae","Animalia","Sabiá-castanho","EN","Em Perigo"
"Chamaecrista coradinii H.S.Irwin & Barneby","314523","Chamaecrista coradinii","Fabaceae",,"Chamaecrista coradinii","VU","Vulnerável"
"Microlicia catolensis Woodgyer & Zappi","329980","Microlicia catolensis","Melastomataceae",,"Microlicia catolensis","EN","Em Perigo"
"Handroanthus grandiflorus Espírito-Santo & M.M.Silva-Castro","392092","Handroanthus grandiflorus","Bignoniaceae",,"Handroanthus grandiflorus","CR","Criticamente em Perigo"
"Encyclia unaensis Fowlie","343725","Encyclia unaensis","Orchidaceae",,"Encyclia unaensis","VU","Vulnerável"
"Rayleya bahiensis Cristóbal","309202","Rayleya bahiensis","Malvaceae",,"Rayleya bahiensis","CR","Criticamente em Perigo"
"Hippocampus reidi Ginsburg, 1933","222445","Hippocampus reidi","Syngnathidae","Animalia","Cavalo-marinho","VU","Vulnerável"
"Chamaecrista onusta H.S.Irwin & Barneby","280150","Chamaecrista onusta","Fabaceae",,"Chamaecrista onusta","VU","Vulnerável"
"Stachytarpheta tuberculata S.Atkins","297813","Stachytarpheta tuberculata","Verbenaceae",,"Stachytarpheta tuberculata","VU","Vulnerável"
"Ameivula sp. n. 1",,,,,,"CR","Criticamente em Perigo"
"Sclerurus caudacutus (Vieillot, 1816)","227369","Sclerurus caudacutus","Scleruridae","Animalia","Vira-folha-pardo","EN","Em Perigo"
"Vellozia canelinha Mello-SilvaVellozia canelinha Mello-Silva","297526","Vellozia canelinha","Velloziaceae",,"Vellozia canelinha","CR","Criticamente em Perigo"
"Barbacenia contasana L.B.Sm. & AyensuBarbacenia contasana L.B.Sm. & Ayensu","297504","Barbacenia contasana","Velloziaceae",,"Barbacenia contasana","EN","Em Perigo"
"Lippia insignis Moldenke","297678","Lippia insignis","Verbenaceae",,"Lippia insignis","VU","Vulnerável"
"Ocotea sperata P.L.R. Moraes et van der Werff","387033","Ocotea sperata","Lauraceae",,"Ocotea sperata","VU","Vulnerável"
"Schwenckia hyssopifolia Benth.","329786","Schwenckia hyssopifolia","Solanaceae",,"Schwenckia hyssopifolia","EN","Em Perigo"
"Faramea bicolor J.G.Jardim & Zappi","279053","Faramea bicolor","Rubiaceae",,"Faramea bicolor","VU","Vulnerável"
"Myrcia lughadhae B.S.Amorim","393520","Myrcia lughadhae","Myrtaceae",,"Myrcia lughadhae","VU","Vulnerável"
"Begonia epibaterium Mart. ex A.DC.","326250","Begonia epibaterium","Begoniaceae",,"Begonia epibaterium","EN","Em Perigo"
"Begonia goldingiana L.Kollmann & A.P.Fontana","278697","Begonia goldingiana","Begoniaceae",,"Begonia goldingiana","VU","Vulnerável"
"Phalloptychus eigenmanni Henn, 1916","149622","Phalloptychus eigenmanni","Poeciliidae","Animalia","Barrigudinho","CR","Criticamente em Perigo"
"Strychnos setosa Krukoff & Barneby","335332","Strychnos setosa","Loganiaceae",,"Strychnos setosa","CR","Criticamente em Perigo"
"Coarazuphium tessai (Gody & Vanin, 1990)",,,,"Animalia","Besouro","VU","Vulnerável"
"Acritopappus pintoi Bautista & D.J.N.Hind","284694","Acritopappus pintoi","Asteraceae",,"Acritopappus pintoi","CR","Criticamente em Perigo"
"Lasiolaena blanchetii (Sch.Bip. ex Baker) R.M.King & H.Rob.","285362","Lasiolaena blanchetii","Asteraceae",,"Lasiolaena blanchetii","VU","Vulnerável"
"Jacquemontia macrocalyx Buril","386453","Jacquemontia macrocalyx","Convolvulaceae",,"Jacquemontia macrocalyx","VU","Vulnerável"
"Canistrum montanum Leme","327400","Canistrum montanum","Bromeliaceae",,"Canistrum montanum","EN","Em Perigo"
"Arberella bahiensis C.E. Calderón & Soderstr.","275956","Arberella bahiensis","Poaceae",,"Arberella bahiensis","EN","Em Perigo"
"Mergus octosetaceus Vieillot, 1817","213998","Mergus octosetaceus","Anatidae","Animalia","Pato-mergulhão","CR","Criticamente em Perigo"
"Calliandra paganuccii E.R. Souza","283345","Calliandra paganuccii","Fabaceae",,"Calliandra paganuccii","EN","Em Perigo"
"Vellozia furcata L.B.Sm. & AyensuVellozia furcata L.B.Sm. & Ayensu","297545","Vellozia furcata","Velloziaceae",,"Vellozia furcata","VU","Vulnerável"
"Duguetia restingae Maas","375482","Duguetia restingae","Annonaceae",,"Duguetia restingae","CR","Criticamente em Perigo"
"Manilkara decrescens T.D.Penn.","280802","Manilkara decrescens","Sapotaceae",,"Manilkara decrescens","VU","Vulnerável"
"Pavonia strictiflora (Hook.f.) G.L. Esteves","336818","Pavonia strictiflora","Malvaceae",,"Pavonia strictiflora","EN","Em Perigo"
"Sphyrna media Springer, 1940","272388","Sphyrna media","Sphyrnidae","Animalia","Tubarão-martelo-de-aba-curta","CR","Criticamente em Perigo"
"Helicteres biflexa Cristóbal","309152","Helicteres biflexa","Malvaceae",,"Helicteres biflexa","CR","Criticamente em Perigo"
"Kielmeyera cuspidata Saddi","287313","Kielmeyera cuspidata","Calophyllaceae",,"Kielmeyera cuspidata","EN","Em Perigo"
"Chamaeza meruloides Vigors, 1825","229895","Chamaeza meruloides","Formicariidae","Animalia","Tovaca-cantadora","VU","Vulnerável"
"Sparattosperma catingae A.H.Gentry","386797","Sparattosperma catingae","Bignoniaceae",,"Sparattosperma catingae","EN","Em Perigo"
"Senegalia olivensana (G.P.Lewis) Seigler & Ebinger","326147","Senegalia olivensana","Fabaceae",,"Senegalia olivensana","VU","Vulnerável"
"Conchocarpus hamadryadicus Pirani & Kallunki","378653","Conchocarpus hamadryadicus","Rutaceae",,"Conchocarpus hamadryadicus","VU","Vulnerável"
"Dichanthelium adenorhachis (Zuloaga & Morrone) Zuloaga","294887","Dichanthelium adenorhachis","Poaceae",,"Dichanthelium adenorhachis","EN","Em Perigo"
"Spizaetus ornatus (Daudin, 1800)","210161","Spizaetus ornatus","Accipitridae","Animalia","Gavião-de-penacho","EN","Em Perigo"
"Trinomys mirapitanga Lara, Patton & Hingst, 2002","246680","Trinomys mirapitanga","Echimyidae","Animalia","Rato-do-espinho","VU","Vulnerável"
"Ayenia hirta A.St.-Hil. ex Naudin","309100","Ayenia hirta","Malvaceae",,"Ayenia hirta","EN","Em Perigo"
"Gaylussacia harleyi Kin.-Gouv.","288689","Gaylussacia harleyi","Ericaceae",,"Gaylussacia harleyi","VU","Vulnerável"
"Leopardus pardalis (Linnaeus. 1758)","195743","Leopardus pardalis","Felidae","Animalia",,"VU","Vulnerável"
"Acanthosyris paulo-alvinii G.M. Barroso","331300","Acanthosyris paulo-alvinii","Santalaceae",,"Acanthosyris paulo-alvinii","VU","Vulnerável"
"Mansoa ivanii M.M.Silva-Castro","347654","Mansoa ivanii","Bignoniaceae",,"Mansoa ivanii","CR","Criticamente em Perigo"
"Mimosa polydidyma Barneby","291256","Mimosa polydidyma","Fabaceae",,"Mimosa polydidyma","VU","Vulnerável"
"Trichogonia tombadorensis R.M.King & H.Rob.","285963","Trichogonia tombadorensis","Asteraceae",,"Trichogonia tombadorensis","EN","Em Perigo"
"Ameivula mumbuca (Colli, Caldwell, Costa, Gainsbury, Garda, Mesquita, Filho, Soares, Silva, Valdujo, Vieira, Vitt, Werneck, Wiederhecker & Zatz, 2003)","256533","Ameivula mumbuca","Teiidae",,,"VU","Vulnerável"
"Alternanthera multicaulis (Mart.) Kuntze","307646","Alternanthera multicaulis","Amaranthaceae",,"Alternanthera multicaulis","VU","Vulnerável"
"Parinari alvimii Prance","287259","Parinari alvimii","Chrysobalanaceae",,"Parinari alvimii","VU","Vulnerável"
"Oocephalus rigens Harley","375339","Oocephalus rigens","Lamiaceae",,"Oocephalus rigens","VU","Vulnerável"
"Myrcia cataphyllata M.F. Santos","357803","Myrcia cataphyllata","Myrtaceae",,"Myrcia cataphyllata","EN","Em Perigo"
"Gomphrena chrestoides C.C.Towns.","283691","Gomphrena chrestoides","Amaranthaceae",,"Gomphrena chrestoides","VU","Vulnerável"
"Bothrops bilineatus (Wied, 1825)","152298","Bothrops bilineatus","Viperidae",,"Ouricana","VU","Vulnerável"
"Ouratea longipes Sastre","293553","Ouratea longipes","Ochnaceae",,"Ouratea longipes","EN","Em Perigo"
"Ara chloropterus Gray, 1859","206613","Ara chloropterus","Psittacidae",,"Arara-vermelha-grande","EN","Em Perigo"
"Peixotoa sericea C.E.Anderson","336101","Peixotoa sericea","Malpighiaceae",,"Peixotoa sericea","EN","Em Perigo"
"Arrojadoa marylaniae Soares Filho & M.Machado","327176","Arrojadoa marylaniae","Cactaceae",,"Arrojadoa marylaniae","CR","Criticamente em Perigo"
"Raddia distichophylla (Schrad. ex Nees) Chase","277780","Raddia distichophylla","Poaceae",,"Raddia distichophylla","EN","Em Perigo"
"Calliandra involuta Mackinder & G.P.Lewis","290627","Calliandra involuta","Fabaceae",,"Calliandra involuta","VU","Vulnerável"
"Hornschuchia cauliflora Maas & Setten","375889","Hornschuchia cauliflora","Annonaceae",,"Hornschuchia cauliflora","EN","Em Perigo"
"Pavonia goetheoides (Hassl.) Fryxell ex G. L. Esteves","336698","Pavonia goetheoides","Malvaceae",,"Pavonia goetheoides","CR","Criticamente em Perigo"
"Couepia longipetiolata Prance","286975","Couepia longipetiolata","Chrysobalanaceae",,"Couepia longipetiolata","EN","Em Perigo"
"Heteropterys conformis W.R.Anderson","335915","Heteropterys conformis","Malpighiaceae",,"Heteropterys conformis","CR","Criticamente em Perigo"
"Eurolophosaurus amathites (Rodrigues, 1984)","241617","Eurolophosaurus amathites","Tropiduridae",,,"VU","Vulnerável"
"Gurania wawrei Cogn.","388103","Gurania wawrei","Cucurbitaceae",,"Gurania wawrei","CR","Criticamente em Perigo"
"Aechmea digitata L.B.Sm. & R.W.Read","326804","Aechmea digitata","Bromeliaceae",,"Aechmea digitata","EN","Em Perigo"
"Kajikia albida (Poey, 1860)","128418","Kajikia albida","Istiophoridae","Animalia","Agulhão-branco","VU","Vulnerável"
"Hohenbergia castellanosii L.B.Sm. & Read","327765","Hohenbergia castellanosii","Bromeliaceae",,"Hohenbergia castellanosii","EN","Em Perigo"
"Erythroxylum mattos-silvae Plowman","332528","Erythroxylum mattos-silvae","Erythroxylaceae",,"Erythroxylum mattos-silvae","EN","Em Perigo"
"Acritopappus prunifolius R.M.King & H.Rob.","284698","Acritopappus prunifolius","Asteraceae",,"Acritopappus prunifolius","EN","Em Perigo"
