"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Chamaecrista arboae Barneby","280116","Chamaecrista arboae","Fabaceae",,"Chamaecrista arboae","EN","Em Perigo"
"Lipaugus lanioides (Lesson, 1844)","249593","Lipaugus lanioides","Cotingidae","Animalia","Tropeiro-da-serra","EN","Em Perigo"
"Diaphoromyrma sofiae Fernandez, Delabie & Nascimento, 2009","199886","Diaphoromyrma sofiae","Formicidae","Animalia",,"EN","Em Perigo"
"Melocactus glaucescens Buining & Brederoo","367902","Melocactus glaucescens","Cactaceae",,"Melocactus glaucescens","EN","Em Perigo"
"Anthurium bromelicola subsp. bahiense Mayo et al.","284136","Anthurium bromelicola subsp. bahiense","Araceae",,"Anthurium bromelicola subsp. bahiense","CR","Criticamente em Perigo"
"Leposoma puk Rodrigues, 2002","204603","Leposoma puk","Gymnophthalmidae",,,"EN","Em Perigo"
"Morithamnus crassus R.M.King et al.","285553","Morithamnus crassus","Asteraceae",,"Morithamnus crassus","EN","Em Perigo"
"Phaethon aethereus Linnaeus, 1758","263764","Phaethon aethereus","Phaethontidae","Animalia","Rabo-de-palha-de-bico- vermelho","VU","Vulnerável"
"Pachira moreirae Carv.-Sobr. & W.S.Alverson","378170","Pachira moreirae","Malvaceae",,"Pachira moreirae","CR","Criticamente em Perigo"
"Semiria viscosa D.J.N.Hind","285799","Semiria viscosa","Asteraceae",,"Semiria viscosa","EN","Em Perigo"
"Evolvulus gnaphalioides Moric.","287573","Evolvulus gnaphalioides","Convolvulaceae",,"Evolvulus gnaphalioides","EN","Em Perigo"
"Anthurium ensifolium Bogner & E.G.Gonç.","352645","Anthurium ensifolium","Araceae",,"Anthurium ensifolium","CR","Criticamente em Perigo"
"Cyclopogon eldorado (Linden & Rchb.f.) Schltr.","362371","Cyclopogon eldorado","Orchidaceae",,"Cyclopogon eldorado","VU","Vulnerável"
"Myrcia stigmatosa O.Berg","341450","Myrcia stigmatosa","Myrtaceae",,"Myrcia stigmatosa","EN","Em Perigo"
"Ouratea rotundifolia (Gardner) Engl.","293571","Ouratea rotundifolia","Ochnaceae",,"Ouratea rotundifolia","EN","Em Perigo"
"Penelope jacucaca Spix, 1825","187020","Penelope jacucaca","Cracidae","Animalia","Jacucaca","VU","Vulnerável"
"Microlicia flavovirens Woodgyer & Zappi","332833","Microlicia flavovirens","Melastomataceae",,"Microlicia flavovirens","VU","Vulnerável"
"Myrcia serrana B.S.Amorim","358709","Myrcia serrana","Myrtaceae",,"Myrcia serrana","CR","Criticamente em Perigo"
"Hypsolebias igneus (Costa, 2000)","221361","Hypsolebias igneus","Rivulidae","Animalia","Peixe-anual","CR","Criticamente em Perigo"
"Aparasphenodon arapapa Pimenta, Napoli & Haddad, 2009","249390","Aparasphenodon arapapa","Hylidae","Animalia","Perereca-de-capacete","EN","Em Perigo"
"Aechmea glandulosa Leme","326856","Aechmea glandulosa","Bromeliaceae",,"Aechmea glandulosa","EN","Em Perigo"
"Chromolaena alvimii R.M.King & H.Rob.","285032","Chromolaena alvimii","Asteraceae",,"Chromolaena alvimii","EN","Em Perigo"
"Turnera stenophylla Urb.","297474","Turnera stenophylla","Turneraceae",,"Turnera stenophylla","CR","Criticamente em Perigo"
"Psittacanthus salvadorensis Kuijt","333330","Psittacanthus salvadorensis","Loranthaceae",,"Psittacanthus salvadorensis","VU","Vulnerável"
"Typhlops amoipira Rodrigues & Juncá, 2002",,,,,,"EN","Em Perigo"
"Turnera harleyi Arbo","297428","Turnera harleyi","Turneraceae",,"Turnera harleyi","VU","Vulnerável"
"Lasiolaena santosii R.M.King & H.Rob.","285382","Lasiolaena santosii","Asteraceae",,"Lasiolaena santosii","VU","Vulnerável"
"Mikania amorimii Borges & Forzza","394438","Mikania amorimii","Asteraceae",,"Mikania amorimii","VU","Vulnerável"
"Tropidophis grapiuna Curcio, Nunes, Argolo, Skuk & Rodrigues, 2012","114267","Tropidophis grapiuna","Tropidophiidae",,,"EN","Em Perigo"
"Paepalanthus umbrosus Giul. & E.B.Miranda","389497","Paepalanthus umbrosus","Eriocaulaceae",,"Paepalanthus umbrosus","VU","Vulnerável"
"Arrojadocharis praxeloides (Mattf.) Mattf.","284789","Arrojadocharis praxeloides","Asteraceae",,"Arrojadocharis praxeloides","EN","Em Perigo"
"Pavonia latibracteolata Krapov.","336731","Pavonia latibracteolata","Malvaceae",,"Pavonia latibracteolata","CR","Criticamente em Perigo"
"Gaya monosperma (K.Schum.) Krapov.","309146","Gaya monosperma","Malvaceae",,"Gaya monosperma","EN","Em Perigo"
"Melocactus paucispinus Heimen & R.J.Paul","367940","Melocactus paucispinus","Cactaceae",,"Melocactus paucispinus","VU","Vulnerável"
"Microtea bahiensis Marchior. & J.C.Siqueira","294598","Microtea bahiensis","Phytolaccaceae",,"Microtea bahiensis","EN","Em Perigo"
"Mimosa palmetorum Barneby","291232","Mimosa palmetorum","Fabaceae",,"Mimosa palmetorum","VU","Vulnerável"
"Acratosaura spinosa Rodrigues, Cassimiro, Freitas & Silva, 2009","173339","Acratosaura spinosa","Gymnophthalmidae",,,"EN","Em Perigo"
"Oxalis bela-vitoriae Lourteig","274141","Oxalis bela-vitoriae","Oxalidaceae",,"Oxalis bela-vitoriae","CR","Criticamente em Perigo"
"Mansoa longicalyx M.M.Silva-Castro","347657","Mansoa longicalyx","Bignoniaceae",,"Mansoa longicalyx","CR","Criticamente em Perigo"
"Pavonia stipularis Krapov.","336814","Pavonia stipularis","Malvaceae",,"Pavonia stipularis","EN","Em Perigo"
"Hypomasticus mormyrops (Steindachner 1875)","151293","Hypomasticus mormyrops","Anostomidae","Animalia","Piau-boquinha","VU","Vulnerável"
"Swartzia pinheiroana R.S.Cowan","291594","Swartzia pinheiroana","Fabaceae",,"Swartzia pinheiroana","EN","Em Perigo"
"Matelea santosii Morillo & Fontella","323569","Matelea santosii","Apocynaceae",,"Matelea santosii","EN","Em Perigo"
"Bertolonia bullata Baumgratz, Amorim & A.B. Jardim","301268","Bertolonia bullata","Melastomataceae",,"Bertolonia bullata","VU","Vulnerável"
"Luxemburgia diciliata Dwyer","293505","Luxemburgia diciliata","Ochnaceae",,"Luxemburgia diciliata","EN","Em Perigo"
"Mitracarpus anthospermoides K.Schum.","279613","Mitracarpus anthospermoides","Rubiaceae",,"Mitracarpus anthospermoides","EN","Em Perigo"
