"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource"
"Teleocichla cinderella","115732","Teleocichla cinderella","Cichlidae",,"Cichlidae","CR","Criticamente em Perigo"
"Peltogyne maranhensis","280490","Peltogyne maranhensis","Fabaceae",,"Fabaceae","V","Vulnerável"
"Ginglymostoma cirratum","264698","Ginglymostoma cirratum","Ginglymostomatidae",,"Ginglymostomatidae","V","Vulnerável"
"Euscarthmus rufomargina-tus","212179","Euscarthmus rufomarginatus","Tyrannidae",,"Tyrannidae","V","Vulnerável"
"Physeter macrocephalus","268113","Physeter macrocephalus","Physeteridae",,"Physeteridae","V","Vulnerável"
"Erythroxylum nelson-rosae","285351","Erythroxylum nelson-rosae","Erythroxylaceae",,"Erythroxylaceae","EN","Em Perigo"
"Hypancistrus zebra","172952","Hypancistrus zebra","Loricariidae",,"Loricariidae","V","Vulnerável"
"Dasyatis colarensis","205719","Dasyatis colarensis","Dasyatidae",,"Dasyatidae","V","Vulnerável"
"Pteroglossus bitorquatus bi-torquatus","148883","Pteroglossus bitorquatus bitorquatus","Ramphastidae",,"Ramphastidae","V","Vulnerável"
"Sphyrna media","272388","Sphyrna media","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Puma concolor","131593","Puma concolor","Felidae",,"Felidae","V","Vulnerável"
"Psophia viridis obscura",,,,,,"EN","Em Perigo"
"Parides panthonus","256325","Parides panthonus","Papilionidae",,"Papilionidae","EN","Em Perigo"
"Heraclides chiansiades mossi","256359","Heraclides chiansiades mossi","Papilionidae",,"Papilionidae","V","Vulnerável"
"Minyocerus angustus","265387","Minyocerus angustus","Porcellanidae",,"Porcellanidae","V","Vulnerável"
"Gustavia erythrocarpa","360370","Gustavia erythrocarpa","Lecythidaceae",,"Lecythidaceae","V","Vulnerável"
"Swietenia macrophylla","303910","Swietenia macrophylla","Meliaceae",,"Meliaceae","V","Vulnerável"
"Natalus stramineus",,,,,,"V","Vulnerável"
"Pleonotoma bracteata","385217","Pleonotoma bracteata","Bignoniaceae",,"Bignoniaceae","EN","Em Perigo"
"Hypolytrum paraense","355963","Hypolytrum paraense","Cyperaceae",,"Cyperaceae","V","Vulnerável"
"Anodontites ensiformis",,,,,,"V","Vulnerável"
"Sphyrna zygaena","265271","Sphyrna zygaena","Sphyrnidae",,"Sphyrnidae","V","Vulnerável"
"Eschweilera piresii ssp. pi-resii","360314","Eschweilera piresii subsp. piresii","Lecythidaceae",,"Lecythidaceae","V","Vulnerável"
"Pteronura brasiliensis","174417","Pteronura brasiliensis","Mustelidae",,"Mustelidae","V","Vulnerável"
"Piculus chrysochloros para-ensis",,,,,,"V","Vulnerável"
"Dendrexetastes rufigula pa-raensis","236941","Dendrexetastes rufigula paraensis","Dendrocolaptidae",,"Dendrocolaptidae","EN","Em Perigo"
"Sartor tucuruiense","245157","Sartor tucuruiense","Anostomidae",,"Anostomidae","CR","Criticamente em Perigo"
"Priodontes maximus","142297","Priodontes maximus","Dasypodidae",,"Dasypodidae","V","Vulnerável"
"Drymusa colligata","134277","Drymusa colligata","Drymusidae",,"Drymusidae","V","Vulnerável"
"Mycetopoda siliquosa","221862","Mycetopoda siliquosa","Mycetopodidae",,"Mycetopodidae","V","Vulnerável"
"Chironius flavolineatus","183775","Chironius flavolineatus","Colubridae",,"Colubridae","V","Vulnerável"
"Physocalymma scaberrimum","302991","Physocalymma scaberrimum","Lythraceae",,"Lythraceae","V","Vulnerável"
"Anodorhynchus hyacinthi-nus","175052","Anodorhynchus hyacinthinus","Psittacidae",,"Psittacidae","V","Vulnerável"
"Abapeba echinus","248380","Abapeba echinus","Corinnidae",,"Corinnidae","V","Vulnerável"
"Heraclides chiansiades maroni",,,,,,"V","Vulnerável"
"Thalasseus maximus","250532","Thalasseus maximus","Sternidae",,"Sternidae","V","Vulnerável"
"Centrosema carajasense","281275","Centrosema carajasense","Fabaceae",,"Fabaceae","V","Vulnerável"
"Anodontites trapesialis","190228","Anodontites trapesialis","Mycetopodidae",,"Mycetopodidae","V","Vulnerável"
