"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Crossodactylus schmidti","156763","Crossodactylus schmidti","Hylodidae",,"Hylodidae","CR","Criticamente em perigo","2011"
"Rivulus haraldsioli",,,,,,"VU","Vulnerável","2011"
"Pseudoplatystoma corruscans","143106","Pseudoplatystoma corruscans","Pimelodidae",,"Pimelodidae","VU","Vulnerável","2011"
"Culicivora caudacuta","149252","Culicivora caudacuta","Tyrannidae","Animalia","Tyrannidae","CR","Criticamente em perigo","2011"
"Narcissia trigonaria","250811","Narcissia trigonaria","Ophidiasteridae",,"Ophidiasteridae","VU","Vulnerável","2011"
"Corythopis delalandi","154774","Corythopis delalandi","Rhynchocyclidae",,"Rhynchocyclidae","EN","Em Perigo","2011"
"Myiobius atricaudus","219144","Myiobius atricaudus","Onychorhynchidae",,"Onychorhynchidae","VU","Vulnerável","2011"
"Vitreorana uranoscopa","225553","Vitreorana uranoscopa","Centrolenidae",,"Centrolenidae","VU","Vulnerável","2011"
"Astropecten brasiliensis","200417","Astropecten brasiliensis","Astropectinidae",,"Astropectinidae","VU","Vulnerável","2011"
"Ctenomys mhiutus",,,,,,"EN","Em Perigo","2011"
"Anthus nattereri","122922","Anthus nattereri","Motacillidae",,"Motacillidae","EN","Em Perigo","2011"
"Spizaetus ornatus","210161","Spizaetus ornatus","Accipitridae","Animalia","Accipitridae","CR","Criticamente em perigo","2011"
"Drymophila squamata","261948","Drymophila squamata","Thamnophilidae",,"Thamnophilidae","EN","Em Perigo","2011"
"Luidia ludwigi scotti","204423","Luidia ludwigi scotti","Luidiidae",,"Luidiidae","VU","Vulnerável","2011"
"Sotalia guianensis","236599","Sotalia guianensis","Delphinidae",,"Delphinidae","EN","Em Perigo","2011"
"Astyanax ggeiiys",,,,,,"VU","Vulnerável","2011"
"Thalasseus maximus","250532","Thalasseus maximus","Sternidae",,"Sternidae","VU","Vulnerável","2011"
"Paratheridula perniciosa","169472","Paratheridula perniciosa","Theridiidae",,"Theridiidae","VU","Vulnerável","2011"
"Cissopis leverianus","233417","Cissopis leverianus","Thraupidae","Animalia","Thraupidae","EN","Em Perigo","2011"
"Eleothreptus anoma lus",,,,,,"EN","Em Perigo","2011"
"Squatina guggenheim","215547","Squatina guggenheim","Squatinidae",,"Squatinidae","EN","Em Perigo","2011"
"Crassostrea brasiliana","191301","Crassostrea brasiliana","Ostreidae",,"Ostreidae","VU","Vulnerável","2011"
"Hasemania melanura","138601","Hasemania melanura","Characidae",,"Characidae","CR","Criticamente em perigo","2011"
"Buteo melanoleucus",,,,,,"VU","Vulnerável","2011"
"Hastula cinerea","226776","Hastula cinerea","Terebridae",,"Terebridae","VU","Vulnerável","2011"
"Geositta curthularia",,,,,,"VU","Vulnerável","2011"
"Hippocampus reidi","222445","Hippocampus reidi","Syngnathidae",,"Syngnathidae","VU","Vulnerável","2011"
"Pecari tajacu","130576","Pecari tajacu","Tayassuidae",,"Tayassuidae","VU","Vulnerável","2011"
"Physeter macrocephalus","268113","Physeter macrocephalus","Physeteridae",,"Physeteridae","VU","Vulnerável","2011"
"Olivancilaria contortuplicata","154510","Olivancillaria contortuplicata","Olividae",,"Olividae","VU","Vulnerável","2011"
"Onychorhynchus swainsoni","188274","Onychorhynchus swainsoni","Onychorhynchidae",,"Onychorhynchidae","CR","Criticamente em perigo","2011"
"Procelaria conspicilata","203824","Procellaria conspicillata","Procellariidae",,"Procellariidae","VU","Vulnerável","2011"
"Nyctinomops macrotis","121450","Nyctinomops macrotis","Molossidae",,"Molossidae","VU","Vulnerável","2011"
"Chrysocyon brachyurus","126597","Chrysocyon brachyurus","Canidae","Animalia","Canidae","CR","Criticamente em perigo","2011"
"Amazona brasiliensis","273788","Amazona brasiliensis","Psittacidae",,"Psittacidae","CR","Criticamente em perigo","2011"
"Euvola ziczac","229076","Euvola ziczac","Pectinidae",,"Pectinidae","EN","Em Perigo","2011"
"Saltator fuliginosus","264614","Saltator fuliginosus","Thraupidae","Animalia","Thraupidae","VU","Vulnerável","2011"
"Spizaetus melanoleucus","178795","Spizaetus melanoleucus","Accipitridae","Animalia","Accipitridae","EN","Em Perigo","2011"
"Trogon viridis","177477","Trogon viridis","Trogonidae","Animalia","Trogonidae","EN","Em Perigo","2011"
"Pampasatyrus gyrtone","232155","Pampasatyrus gyrtone","Nymphalidae",,"Nymphalidae","VU","Vulnerável","2011"
"Brycon orbignyanus",,,,,,"EN","Em Perigo","2011"
"Myotis simus","245507","Myotis simus","Vespertilionidae",,"Vespertilionidae","VU","Vulnerável","2011"
"Hasemania maxilaris","233289","Hasemania maxillaris","Characidae",,"Characidae","CR","Criticamente em perigo","2011"
"Rivulus luelingi",,,,,,"VU","Vulnerável","2011"
"Luidia alternata","235888","Luidia alternata","Luidiidae",,"Luidiidae","VU","Vulnerável","2011"
"Chloroceryle inda","182142","Chloroceryle inda","Alcedinidae","Animalia","Alcedinidae","EN","Em Perigo","2011"
"Phacelodomus striaticolis","137237","Phacellodomus striaticollis","Furnariidae",,"Furnariidae","VU","Vulnerável","2011"
"Lepidochelys olivacea","265273","Lepidochelys olivacea","Cheloniidae",,"Cheloniidae","EN","Em Perigo","2011"
"Astropecten marginatus","169292","Astropecten marginatus","Astropectinidae",,"Astropectinidae","VU","Vulnerável","2011"
"Melipona bicolor schenki","195776","Melipona (Eomelipona) bicolor schencki","Apidae",,"Apidae","VU","Vulnerável","2011"
"Listrura camposi","142655","Listrura camposi","Trichomycteridae",,"Trichomycteridae","VU","Vulnerável","2011"
"Carcharias taurus","152225","Carcharias taurus","Odontaspididae",,"Odontaspididae","CR","Criticamente em perigo","2011"
"Pontopori blainvilei",,,,,,"VU","Vulnerável","2011"
"Cycloramphus valae","264181","Cycloramphus valae","Cycloramphidae",,"Cycloramphidae","CR","Criticamente em perigo","2011"
"Acanthostichus flexuosus","199843","Acanthostichus flexuosus","Formicidae",,"Formicidae","EN","Em Perigo","2011"
"Isostichopus badionotus","219751","Isostichopus badionotus","Stichopodidae",,"Stichopodidae","VU","Vulnerável","2011"
"Morphnus guianensis","241188","Morphnus guianensis","Accipitridae","Animalia","Accipitridae","CR","Criticamente em perigo","2011"
"Basiceros acutiplli",,,,,,"EN","Em Perigo","2011"
"Lophopedia pulchra","263623","Lophopedia pulchra","Apidae",,"Apidae","VU","Vulnerável","2011"
"Tigrisoma fasciatum","270979","Tigrisoma fasciatum","Ardeidae",,"Ardeidae","CR","Criticamente em perigo","2011"
"Ischnocnema manezinho","269090","Ischnocnema manezinho","Brachycephalidae",,"Brachycephalidae","VU","Vulnerável","2011"
"Sorubim lima","237720","Sorubim lima","Pimelodidae",,"Pimelodidae","VU","Vulnerável","2011"
"Stymphalornis acutirostris",,,,,,"CR","Criticamente em perigo","2011"
"Melanophryniscus dorsalis","215397","Melanophryniscus dorsalis","Bufonidae","Animalia","Bufonidae","EN","Em Perigo","2011"
"Heliornis fulica","206959","Heliornis fulica","Heliornithidae",,"Heliornithidae","CR","Criticamente em perigo","2011"
"Phyloscartes eximius","155005","Phylloscartes eximius","Rhynchocyclidae",,"Rhynchocyclidae","CR","Criticamente em perigo","2011"
"Desmophylum dianthus","224015","Desmophyllum dianthus","Caryophylliidae",,"Caryophylliidae","CR","Criticamente em perigo","2011"
"Primolius maracana","273787","Primolius maracana","Psittacidae",,"Psittacidae","CR","Criticamente em perigo","2011"
"Phrynomedusa appendiculata","186513","Phrynomedusa appendiculata","Hylidae",,"Hylidae","EN","Em Perigo","2011"
"Epinephelus itajara","167054","Epinephelus itajara","Serranidae",,"Serranidae","EN","Em Perigo","2011"
"Hemitriccus kaempferi","185965","Hemitriccus kaempferi","Rhynchocyclidae",,"Rhynchocyclidae","VU","Vulnerável","2011"
"Limnoctites rectirostris","137481","Limnoctites rectirostris","Furnariidae",,"Furnariidae","CR","Criticamente em perigo","2011"
"Polystictus pectoralis","212254","Polystictus pectoralis","Tyrannidae","Animalia","Tyrannidae","CR","Criticamente em perigo","2011"
"Sporophila cinnamomea","138877","Sporophila cinnamomea","Thraupidae","Animalia","Thraupidae","CR","Criticamente em perigo","2011"
"Madrera po oculata",,,,,,"CR","Criticamente em perigo","2011"
"Lutreolina crassicaudata","147502","Lutreolina crassicaudata","Didelphidae",,"Didelphidae","VU","Vulnerável","2011"
"Drephalys miersi","209838","Drephalys (Drephalys) miersi","Hesperiidae",,"Hesperiidae","CR","Criticamente em perigo","2011"
"Carcharhimus longimanus",,,,,,"VU","Vulnerável","2011"
"Mecicobothrium baccai","111179","Mecicobothrium baccai","Mecicobothriidae",,"Mecicobothriidae","VU","Vulnerável","2011"
"Sorubim lima","237720","Sorubim lima","Pimelodidae",,"Pimelodidae","VU","Vulnerável","2011"
"Glossopasiphae plaumani",,,,,,"EN","Em Perigo","2011"
"Mimagoniates lateralis","233224","Mimagoniates lateralis","Characidae",,"Characidae","VU","Vulnerável","2011"
