"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Colubrina retusa (Pittier) R.S.Cowan","349331","Colubrina retusa","Rhamnaceae",,"Rhamnaceae","EN","Em Perigo","2016"
"Neomitranthes pedicellata (Burret) Mattos","341638","Neomitranthes pedicellata","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Mollinedia pachysandra Perkins","339535","Mollinedia pachysandra","Monimiaceae",,"Monimiaceae","VU","Vulnerável","2016"
"Acrocomia hassleri (Barb.Rodr.) W.J.Hahn","284271","Acrocomia hassleri","Arecaceae",,"Arecaceae","EN","Em Perigo","2016"
"Grandiphyllum hians (Lindl.) Docha Neto","344071","Grandiphyllum hians","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Siphanthera dawsonii Wurdack","322437","Siphanthera dawsonii","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Aulacopilum schaeferi H.A.Crum","360804","Aulacopilum schaeferi","Erpodiaceae",,"Erpodiaceae","EX","Extinta","2016"
"Psidium sartorianum Nied.","341844","Psidium sartorianum","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Neesioscyphus carneus (Nees) Grolle","363469","Neesioscyphus carneus","Balantiopsidaceae",,"Balantiopsidaceae","EX","Extinta","2016"
"Ditassa lagoensis E.Fourn.","297389","Ditassa lagoensis","Apocynaceae",,"Apocynaceae","EX","Extinta","2016"
"Hydrocotyle langsdorffii DC.","324789","Hydrocotyle langsdorffii","Araliaceae",,"Araliaceae","EX","Extinta","2016"
"Galium shepherdii Jung-Mendaçolli","279389","Galium shepherdii","Rubiaceae",,"Rubiaceae","CR","Criticamente em Perigo","2016"
"Nematanthus strigillosus (Mart.) H.E.Moore","333015","Nematanthus strigillosus","Gesneriaceae",,"Gesneriaceae","EX","Extinta","2016"
"Begonia brevilobata Irmsch.","326171","Begonia brevilobata","Begoniaceae",,"Begoniaceae","EX","Extinta","2016"
"Campylopus griseus (Hornsch.) A.Jaeger","360477","Campylopus griseus","Dicranaceae",,"Dicranaceae","EX","Extinta","2016"
"Eugenia macrobracteolata Mattos","340487","Eugenia macrobracteolata","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Passiflora malacophylla Mast.","274480","Passiflora malacophylla","Passifloraceae",,"Passifloraceae","EX","Extinta","2016"
"Echinodorus paniculatus Micheli","369495","Echinodorus paniculatus","Alismataceae",,"Alismataceae","EX","Extinta","2016"
"Nectandra hihua (Ruiz & Pay.) Rohwer","302716","Nectandra hihua","Lauraceae",,"Lauraceae","EN","Em Perigo","2016"
"Aosa parviflora (Schrad. ex DC.) Weigend","378976","Aosa parviflora","Loasaceae",,"Loasaceae","EN","Em Perigo","2016"
"Axonopus monticola G.A.Black","276046","Axonopus monticola","Poaceae",,"Poaceae","EX","Extinta","2016"
"Buchenavia hoehneana N.F.Mattos","331818","Buchenavia hoehneana","Combretaceae",,"Combretaceae","VU","Vulnerável","2016"
"Bacopa congesta Chodat & Hassl.","275640","Bacopa congesta","Plantaginaceae",,"Plantaginaceae","EX","Extinta","2016"
"Chascolytrum juergensii (Hack.) Essi, Longhi-Wagner & Souza-Chies","388929","Chascolytrum juergensii","Poaceae",,"Poaceae","EX","Extinta","2016"
"Wolffia arrhiza (L.) Horkel ex Wimm.","352995","Wolffia arrhiza","Araceae",,"Araceae","VU","Vulnerável","2016"
"Heterocondylus amphidyctius (DC.) R.M.King & H.Rob.","312437","Heterocondylus amphidyctius","Asteraceae",,"Asteraceae","VU","Vulnerável","2016"
"Eubrachion ambiguum (Hook. & Arn.) Engl.","280595","Eubrachion ambiguum","Santalaceae",,"Santalaceae","VU","Vulnerável","2016"
"Eugenia longibracteata Mazine","378930","Eugenia longibracteata","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Eugenia subundulata Kiaersk.","340792","Eugenia subundulata","Myrtaceae",,"Myrtaceae","EN","Em Perigo","2016"
"Eryngium koehneanum Urb.","330112","Eryngium koehneanum","Apiaceae",,"Apiaceae","EN","Em Perigo","2016"
"Doryopteris paradoxa (Fée) Christ","349775","Doryopteris paradoxa","Pteridaceae","Animalia","Pteridaceae","VU","Vulnerável","2016"
"Galianthe peruviana (Pres.) E.L.Cabral","279289","Galianthe peruviana","Rubiaceae",,"Rubiaceae","EX","Extinta","2016"
"Epidendrum hololeucum Barb.Rodr.","343813","Epidendrum hololeucum","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Chusquea pulchella L.G.Clark","276386","Chusquea pulchella","Poaceae",,"Poaceae","EN","Em Perigo","2016"
"Jacquemontia glabrescens (Meisn.) M.Pastore & Sim.- Bianch.","348143","Jacquemontia glabrescens","Convolvulaceae",,"Convolvulaceae","EX","Extinta","2016"
"Ocotea bragai Coe-Teix.","334667","Ocotea bragai","Lauraceae",,"Lauraceae","EN","Em Perigo","2016"
"Leandra limbata Cogn.","337927","Leandra limbata","Melastomataceae",,"Melastomataceae","EX","Extinta","2016"
"Calyptranthes obovata Kiaersk.","340041","Calyptranthes obovata","Myrtaceae",,"Myrtaceae","EX","Extinta","2016"
"Cordia silvestris Fresen.","286403","Cordia silvestris","Boraginaceae",,"Boraginaceae","VU","Vulnerável","2016"
"Epidendrum infaustum Reichb.f.","343817","Epidendrum infaustum","Orchidaceae",,"Orchidaceae","EX","Extinta","2016"
"Crossomitrium saprophilum Broth.","362005","Crossomitrium saprophilum","Pilotrichaceae",,"Pilotrichaceae","EX","Extinta","2016"
