"id";"taxonID";"scientificName";"family";"taxonRank";"scientificNameAuthorship";"taxonomicStatus";"countryCode";"threatStatus"
"26575";"26575";"Butia microspadix";"ARECACEAE";"species";"Burret";"accepted";"BR";"VU"
"26577";"26577";"Butia purpurascens";"ARECACEAE";"species";"Glassman";"accepted";"BR";"EN"
"34031";"34031";"Butia yatay";"ARECACEAE";"species";"(Mart.) Becc.";"accepted";"BR";"VU"
"15712";"15712";"Euterpe edulis";"ARECACEAE";"species";"Mart.";"accepted";"BR";"VU"
"44540";"44540";"Lytocaryum insigne";"ARECACEAE";"species";"(Drude) Toledo";"accepted";"BR";"VU"
"26582";"26582";"Syagrus glaucescens";"ARECACEAE";"species";"Glaz. ex Becc.";"accepted";"BR";"VU"
"34081";"34081";"Syagrus macrocarpa";"ARECACEAE";"species";"Barb.Rodr.";"accepted";"BR";"EN"
"44824";"44824";"Syagrus mendanhensis";"ARECACEAE";"species";"Glassman";"accepted";"BR";"CR"
"34082";"34082";"Syagrus picrophylla";"ARECACEAE";"species";"Barb.Rodr.";"accepted";"BR";"VU"
"34084";"34084";"Syagrus ruschiana";"ARECACEAE";"species";"(Bondar) Glassman";"accepted";"BR";"VU"
"77933";"77933";"Aristolochia hypoglauca";"ARISTOLOCHIACEAE";"species";"Kuhlm.";"accepted";"BR";"EN"
"103038";"103038";"Aristolochia odora";"ARISTOLOCHIACEAE";"species";"Steud.";"accepted";"BR";"VU"
"97184";"97184";"Gongylanthus liebmannianus";"ARNELLIACEAE";"species";"(Lindenb. & Gottsche) Steph.";"accepted";"BR";"EN"
"97186";"97186";"Southbya organensis";"ARNELLIACEAE";"species";"Herzog";"accepted";"BR";"CR"
"90683";"90683";"Asplenium beckeri";"ASPLENIACEAE";"species";"Brade";"accepted";"BR";"CR"
"90684";"90684";"Asplenium bradeanum";"ASPLENIACEAE";"species";"Handro";"accepted";"BR";"EN"
"90688";"90688";"Asplenium castaneum";"ASPLENIACEAE";"species";"Schltdl. & Cham.";"accepted";"BR";"EN"
"90769";"90769";"Asplenium schwackei";"ASPLENIACEAE";"species";"Christ";"accepted";"BR";"CR"
"105806";"105806";"Asplenium trindadense";"ASPLENIACEAE";"species";"(Brade) Sylvestre";"accepted";"BR";"CR"
"103228";"103228";"Acmella pusilla";"ASTERACEAE";"species";"(Hook. & Arn.) R.K.Jansen";"accepted";"BR";"EN"
"15917";"15917";"Acritopappus catolesensis";"ASTERACEAE";"species";"D.J.N.Hind & Bautista";"accepted";"BR";"VU"
"15919";"15919";"Acritopappus connatifolius";"ASTERACEAE";"species";"(Soar.Nunes) R.M.King & H.Rob.";"accepted";"BR";"EN"
"25204";"25204";"Acritopappus irwinii";"ASTERACEAE";"species";"R.M.King & H.Rob.";"accepted";"BR";"VU"
"15926";"15926";"Acritopappus pintoi";"ASTERACEAE";"species";"Bautista & D.J.N.Hind";"accepted";"BR";"CR"
"15938";"15938";"Agrianthus almasensis";"ASTERACEAE";"species";"D.J.N.Hind";"accepted";"BR";"EN"
"15940";"15940";"Agrianthus giuliettiae";"ASTERACEAE";"species";"D.J.N.Hind";"accepted";"BR";"EN"
"109415";"109415";"Aldama corumbensis";"ASTERACEAE";"species";"(Malme) Magenta & Pirani";"accepted";"BR";"EN"
"16449";"16449";"Aldama filifolia";"ASTERACEAE";"species";"(Sch.Bip. ex Baker) E.E.Schill. & Panero";"accepted";"BR";"EN"
"27482";"27482";"Aldama goyazii";"ASTERACEAE";"species";"E.E.Schill. & Panero";"accepted";"BR";"VU"
"27484";"27484";"Aldama linearifolia";"ASTERACEAE";"species";"(Chodat) E.E.Schill. & Panero";"accepted";"BR";"CR"
"109422";"109422";"Aldama paranensis";"ASTERACEAE";"species";"(Malme) Magenta & Pirani";"accepted";"BR";"CR"
"105078";"105078";"Aldama vernonioides";"ASTERACEAE";"species";"(Baker) E.E.Schill. & Panero";"accepted";"BR";"EN"
"26793";"26793";"Anteremanthus hatschbachii";"ASTERACEAE";"species";"H.Rob.";"accepted";"BR";"EN"
"15963";"15963";"Aspilia almasensis";"ASTERACEAE";"species";"D.J.N.Hind";"accepted";"BR";"VU"
"26797";"26797";"Aspilia belo-horizontinae";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"CR"
"26800";"26800";"Aspilia caudata";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"EN"
"26802";"26802";"Aspilia cordifolia";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"EN"
"26803";"26803";"Aspilia cylindrocephala";"ASTERACEAE";"species";"H.Rob.";"accepted";"BR";"VU"
"26804";"26804";"Aspilia diamantinae";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"EN"
"26805";"26805";"Aspilia diffusiflora";"ASTERACEAE";"species";"H.Rob.";"accepted";"BR";"VU"
"26806";"26806";"Aspilia diniz-cruzeanae";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"CR"
"26809";"26809";"Aspilia eglerii";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"CR"
"26812";"26812";"Aspilia espinhacensis";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"EN"
"78088";"78088";"Aspilia grazielae";"ASTERACEAE";"species";"J.U.Santos";"accepted";"BR";"EN"
"26822";"26822";"Aspilia jugata";"ASTERACEAE";"species";"H.Rob.";"accepted";"BR";"CR"
