"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Scarabaeidae";"Dichotomius (Luederwaldtinia) superbus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tellinidae";"Eurytellina punicea";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Higginsia strigilata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Paronellidae";"Trogolaphysa aelleni";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Echimyidae";"Myocastor coypus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pimelodidae";"Steindachneridion punctatum";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Rhinocryptidae";"Merulaxis ater";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Rallidae";"Coturnicops notatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Coryphaspiza melanotis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Procellariidae";"Pterodroma incerta";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Caenoptychia boulleti";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Didelphidae";"Metachirus nudicaudatus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Ramphastidae";"Pteroglossus bailloni";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Agrias claudina";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Mycetopodidae";"Anodontites trapezeus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Branchiostomidae";"Branchiostoma caribaeum";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Diomedeidae";"Diomedea dabbenena";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hylidae";"Phrynomedusa vanzolinii";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pholadidae";"Cyrtopleura costata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Anchoa spinifera";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Megalobulimidae";"Megalobulimus grandis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Psittacidae";"Orthopsittaca manilatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Lucanidae";"Leptinopterus suturalis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Geoplanidae";"Geoplana chiuna";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Ramphastidae";"Pteroglossus aracari";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Amphisbaenidae";"Amphisbaena steindachneri";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hylidae";"Hypsiboas cymbalum";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Panopeidae";"Eurytium limosum";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Donacospiza albifrons";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Palaemonidae";"Macrobrachium carcinus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Entomobryidae";"Seira eidmanni";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Trochilidae";"Lophornis magnificus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Columbidae";"Patagioenas speciosa";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Dasypodidae";"Cabassous tatouay";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Trichomycteridae";"Trichogenes longipinnis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Higginsia strigilata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pontoporiidae";"Pontoporia blainvillei";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Sphyrnidae";"Sphyrna tiburo";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Asterinidae";"Asterina stellifera";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Furnariidae";"Schoeniophylax phryganophilus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Leptodactylidae";"Physalaemus jordanensis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Dendrocolaptidae";"Campylorhamphus trochilirostris";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Merlucciidae";"Merluccius hubbsi";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hylidae";"Scinax faivovichi";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Sapajus cucullatus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Motacillidae";"Anthus hellmayri";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Anatidae";"Cygnus melancoryphus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Strigidae";"Pulsatrix perspicillata";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Volutidae";"Adelomelon beckii";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thamnophilidae";"Formicivora paludicola";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Polioptilidae";"Polioptila lactea";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pipritidae";"Piprites pileata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Ophiodes aff.";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Hylocryptus rectirostris";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Sporophila plumbea";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Eunicidae";"Eunice sebastiani";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Corvidae";"Cyanocorax cyanomelas";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Trichomycteridae";"Listrura picinguabae";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Oligoryzomys fornesi";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tyrannidae";"Euscarthmus rufomarginatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cricetidae";"Blarinomys breviceps";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hylidae";"Phrynomedusa marginata";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Geotrupidae";"Athyreus capricornis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Cerianthomorphe brasiliensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Charadriidae";"Vanellus cayanus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Furipteridae";"Furipterus horrens";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Trichomycteridae";"Trichomycterus paolence";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Dipsadidae";"Ditaxodon taeniatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Myliobatidae";"Mobula thurstoni";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Paralichthyidae";"Paralichthys orbignyanus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Ascidiidae";"Ascidia santosi";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Viperidae";"Bothrops cotiara";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Anatidae";"Sarkidiornis sylvicola";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hesperiidae";"Zonia zonia diabo";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Mesoclemmys cf.";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Echimyidae";"Phyllomys thomasi";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Tayassuidae";"Tayassu pecari";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Strombidae";"Aliger costatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hypogastruridae";"Acherontides eleonorae";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Ciconiidae";"Ciconia maguari";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Lanio penicillatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Felidae";"Panthera onca";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Scombridae";"Euthynnus alleteratus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Accipitridae";"Amadonastur lacernulatus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Ameiva aff.";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"";"Natalus espiritosantensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Threskiornithidae";"Eudocimus ruber";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Pimelodidae";"Pimelodus paranaensis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Batrachoididae";"Porichthys porosissimus";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Dipsadidae";"Apostolepis goiasensis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thamnophilidae";"Dysithamnus stictothorax";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Psittacidae";"Triclaria malachitacea";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Melanopareiidae";"Melanopareia torquata";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Characidae";"Hyphessobrycon flammeus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Callichthyidae";"Scleromystax prionotos";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Sporophila frontalis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Hemiramphidae";"Hemiramphus brasiliensis";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Charitospiza eucosma";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Achiridae";"Achirus lineatus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Schistochlamys melanopis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Thraupidae";"Sporophila angolensis";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Clupeidae";"Harengula clupeola";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Bothidae";"Bothus robinsi";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Brachystomellidae";"Folsomiella trisetosa";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
