"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa acutistipula";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Mimosa skinneri Benth. var. carajarum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";NA;NA;NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Fabaceae";"Peltogyne maranhensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Pilocarpus microphyllus";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Pilocarpus microphyllus";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Pilocarpus microphyllus";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Sapotaceae";"Pouteria brevensis";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
