"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Plantaginaceae";"Angelonia procumbens";"Em Perigo";"EN";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Plantaginaceae";"Angelonia verticillata";"Em Perigo";"EN";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Rutaceae";"Angostura quinquefolia";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Aniba ferrea";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Aniba firmula";"Criticamente em Perigo";"CR";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Aniba heringeri";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Aniba rosaeodora";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";NA;NA;NA
"Lauraceae";"Aniba rosiodora";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Lauraceae";"Aniba santalodora";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Anisophylleaceae";"Anisophyllea manausensis";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona angustifolia";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona cacans";"Vulnerável";"VU";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona emarginata";"Vulnerável";"VU";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona ferruginea";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona gardneri";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona glabra";"Criticamente em Perigo";"CR";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona glaucophylla";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona maritima";"Em Perigo";"EN";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"SINONIMO";"NOME_LEGITIMO_MAS_INCORRETO";"Annona emarginata"
"Annonaceae";"Annona neosericea";"Criticamente em Perigo";"CR";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"SINONIMO";"NOME_LEGITIMO_MAS_INCORRETO";"Annona dolabripetala"
"Annonaceae";"Annona parviflora";"Vulnerável";"VU";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Annonaceae";"Annona ubatubensis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"SINONIMO";"";"Annona dolabripetala"
"Annonaceae";"Annona xylopiifolia";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Pteridaceae";"Anogramma lorentzii";"Regionalmente Extinta";"RE";"RS";"Lista Flora Ameaçada Rio Grande do Sul";"Decreto Estadual 51/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bryaceae";"Anomobryum conicum";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Poaceae";"Anomochloa marantoidea";"Em Perigo";"EN";"BA";"Lista Flora Ameaçada Bahia";"Portaria SEMA-BA 40/2017";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Poaceae";"Anomochloa marantoidea";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Phyllostomidae";"Anoura caudifer";"Pouco Preocupante";"LC";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010";"Não";NA;NA;NA
"";"Anoura geoffroyi";"Pouco Preocupante";"LC";"PR";"Lista Flora Ameaçada Paraná";"Decreto Estadual 7264/2010";"Não";NA;NA;NA
"Asteraceae";"Anteremanthus hatschbachii";"Criticamente em Perigo";"CR";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Asteraceae";"Anteremanthus hatschbachii";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Asteraceae";"Anteremanthus piranii";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Poaceae";"Anthaenantiopsis fiebrigii";"Criticamente em Perigo";"CR";"MG";"Lista Flora Ameaçada Minas Gerais";"Deliberação COPAM 367/2008";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Poaceae";"Anthaenantiopsis fiebrigii";"Criticamente em Perigo";"CR";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Anthurium ameliae";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Anthurium augustinum";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Anthurium binotii";"Em Perigo";"EN";"Portaria 443";"Lista Portaria 443";"Portaria MMA 443/2014";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
