"Familia";"Nome_Cientifico";"Categoria";"Cod.";"Fonte";"Lista";"Dispositivo_Legal"
"Myrtaceae";"Plinia pseudodichasiantha";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Olyra fasciculata";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Myrtaceae";"Siphoneugena kuhlmannii";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Andropogon hypogynus";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Ctenium brevispicatum";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Scuticaria itirapinensis";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Piperaceae";"Piper amparoense";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Luziola bahiensis";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Tillandsia recurvifolia";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Gomesa pectoralis";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Pottiaceae";"Molendoa sendtneriana";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Ericaceae";"Agarista pulchra";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Piperaceae";"Peperomia hydrocotyloides";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rhamnaceae";"Gouania ulmifolia";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Malvaceae";"Abutilon nigricans";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Pabstiella carinifera";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Hypericaceae";"Hypericum piriai";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Vriesea regnellii";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Myrtaceae";"Calyptranthes fusiformis";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Nidularium bocainense";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Euphorbiaceae";"Croton serratifolius";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Hypericaceae";"Vismia martiana";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Octomeria hoehnei";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Thuidiaceae";"Thuidium urceolatum";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Bromeliaceae";"Wittrockia gigantea";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Chromolaena rhinanthacea";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Bertolonia paranaensis";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Colanthelia cingulata";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lamiaceae";"Hyptis alpestris";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Orchidaceae";"Macradenia multiflora";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Poaceae";"Paspalum plenum";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Chrysobalanaceae";"Licania indurata";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Rubiaceae";"Faramea monantha";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Alstroemeriaceae";"Alstroemeria apertiflora";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Asteraceae";"Campuloclinium riedelii";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Melastomataceae";"Miconia robustissima";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lentibulariaceae";"Utricularia olivacea";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Piperaceae";"Piper hoehnei";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Lauraceae";"Beilschmiedia fluminensis";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Podostemaceae";"Podostemum ovatum";"Em Perigo";"EN";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Myrtaceae";"Eugenia hermesiana";"Criticamente em Perigo";"CR";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Frullaniaceae";"Frullania griffithsiana";"Extinta";"EX";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
"Xyridaceae";"Xyris brevifolia";"Vulnerável";"VU";"SP";"Lista Flora Ameaçada São Paulo";"Resolucao SMA 57/2016"
